Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-07-23-2200;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-07-23 22:17:32.495869315;2021-07-23 23:17:32.495869315;2021-07-24 00:17:32.495869315;2021-07-24 01:17:32.495869315;2021-07-24 00:22:00;0.05744588002562523;0.1723376363515854;0.11489175632596016;0.1723376433054606;0.018165982643416487;1.2194997164084818;0.03446752578020096;-0.02297835424542427;-1;0.1732924297985376;1.5083103900586958;1.0
2021-07-24-0300;Resampled to 2min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-07-23 22:17:01.855884076;2021-07-23 23:17:01.855884076;2021-07-24 00:17:01.855884076;2021-07-24 01:17:01.855884076;2021-07-24 00:28:00;0.06719562411308289;0.18814776837825775;0.12095214426517487;0.07111316521962484;0.00775908286050456;3.041058324852866;0.0725712701678276;0.0053756460547447205;-1;0.07153520555914994;0.5914339592220582;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-07-23 22:16:52.103925803;2021-07-23 23:16:52.103925803;2021-07-24 00:16:52.103925803;2021-07-24 01:16:52.103925803;2021-07-24 00:54:00;0.00660628080368042;0.03497442603111267;0.02836814522743225;0.02019249399503072;0.0016022583614059324;2.504895802803438;0.0034974426962435246;-0.0031088381074368954;-1;0.020255963210769487;0.7140390409162806;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-07-23 22:16:49.621349479;2021-07-23 23:16:49.621349479;2021-07-24 00:16:49.621349479;2021-07-24 01:16:49.621349479;2021-07-24 00:38:00;0.002404316095635295;0.009835836477577686;0.007431520381942391;0.005678722759087881;0.0005126017970919124;3.0643884604063087;0.001530019217170775;-0.00087429687846452;-1;0.005701811359293162;0.7672469516665537;1.0
