Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-22-1300;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-05-22 14:28:44.233019;2021-05-22 15:28:44.233019;2021-05-22 15:58:44.233019;2021-05-22 16:58:44.233019;2021-05-22 16:00:00;0.04595670476555824;0.20680516958236694;0.1608484648168087;0.11939901987711589;0.016248148821760663;2.997220915266064;0.06893505156040192;0.022978346794843674;-1;0.12049949496885867;0.749149176562526;1.0
2021-05-22-1900;Resampled to 5min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-05-22 14:28:08.735475;2021-05-22 15:28:08.735475;2021-05-22 15:58:08.735475;2021-05-22 16:58:08.735475;2021-05-22 16:00:00;0.04479708895087242;0.05375650152564049;0.008959412574768066;0.024040638605753582;0.006335264634237008;-1.0;0.03852549567818642;-0.006271593272686005;-1;0.02486137330394811;2.7748887660295853;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-05-22 14:27:57.437475;2021-05-22 15:27:57.437475;2021-05-22 15:57:57.437475;2021-05-22 16:57:57.437475;2021-05-22 16:15:00;0.00660628080368042;0.018653027713298798;0.012046746909618378;0.009326513608296711;0.0016022583592382048;2.8692972170574516;0.007772095035761595;0.0011658142320811749;-1;0.009463143660300865;0.7855351931354423;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-05-22 14:27:54.561320;2021-05-22 15:27:54.561320;2021-05-22 15:57:54.561320;2021-05-22 16:57:54.561320;2021-05-22 16:20:00;0.0022950286511331797;0.006557224318385124;0.0042621956672519445;0.0029324797789255777;0.0005008162718812887;3.07972281808067;0.0028414640109986067;0.000546435359865427;-1;0.002974937745901329;0.6979824433586888;1.0
