Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-03-05-1200;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-03-05 14:35:31.094539;2021-03-05 15:35:31.094539;2021-03-05 16:05:31.094539;2021-03-05 17:05:31.094539;2021-03-05 16:06:00;0.05744588002562523;0.6893505454063416;0.6319046653807163;0.48744446436564126;0.01816598264769749;4.878183943489712;0.06319046765565872;0.005744587630033493;-1;0.4877828500124449;0.771924748677968;1.0
2021-03-05-1900;Resampled to 1min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-03-05 14:35:08.675037;2021-03-05 15:35:08.675037;2021-03-05 16:05:08.675037;2021-03-05 17:05:08.675037;2021-03-05 16:06:00;0.02329447865486145;0.10751300305128098;0.08421852439641953;0.07602317333221435;0.004568424245282264;2.327426685081081;0.02598230168223381;0.0026878230273723602;-1;0.07616031370461121;0.9043178356595512;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-03-05 14:35:01.539458;2021-03-05 15:35:01.539458;2021-03-05 16:05:01.539458;2021-03-05 17:05:01.539458;2021-03-05 16:09:00;0.0034974426962435246;0.023316284641623497;0.019818841945379972;0.02331628402074178;0.0011658142036154993;2.10175143982133;0.005051861517131329;0.001554418820887804;-1;0.023345411182783868;1.1779402271395571;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-03-05 14:34:59.722939;2021-03-05 15:34:59.722939;2021-03-05 16:04:59.722939;2021-03-05 17:04:59.722939;2021-03-05 16:34:00;0.0017485934076830745;0.013114448636770248;0.011365855229087174;0.00927331546942393;0.00043714828058563523;3.3565847325240883;0.001530019217170775;-0.00021857419051229954;-1;0.009283613435224245;0.8167984940953572;1.0
