Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-23-0700;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-05-23 08:42:03.043651;2021-05-23 09:22:03.043651;2021-05-23 09:42:03.043651;2021-05-23 10:22:03.043651;2021-05-23 09:58:00;3100.1462088855355;7389.671875;4289.525666114465;2336.81953125;239.45433711270977;2.9012246732624023;2565.2633564217003;-534.8828524638352;-1;2349.0559595704735;0.5476260412956787;1.0
2021-05-23-1200;Resampled to 1min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-05-23 08:41:27.517090;2021-05-23 09:21:27.517090;2021-05-23 09:41:27.517090;2021-05-23 10:21:27.517090;2021-05-23 09:49:00;3201.6510516729813;7722.05517578125;4520.404124108269;2441.9283854166665;248.7304172068541;3.748101517452034;3588.6032311549557;386.9521794819743;-1;2454.5633134933682;0.5429964326425295;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-05-23 08:41:02.648188;2021-05-23 09:21:02.648188;2021-05-23 09:41:02.648188;2021-05-23 10:21:02.648188;2021-05-23 10:04:00;2942.6796844785813;4550.97119140625;1608.2915069276687;1516.9903645833333;192.96670167918538;-1.0;2298.733823627271;-643.9458608513105;-1;1529.2141492268563;0.9508314522832527;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-05-23 08:40:17.663207;2021-05-23 09:20:17.663207;2021-05-23 09:40:17.663207;2021-05-23 10:20:17.663207;2021-05-23 09:49:00;1799.6384439091394;4681.12158203125;2881.4831381221106;1480.3006510416667;145.22934099921918;3.6437783348287613;1882.5679155975838;82.92947168844444;-1;1487.4076707350441;0.5161951673624582;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-05-23 08:39:41.675215;2021-05-23 09:19:41.675215;2021-05-23 09:39:41.675215;2021-05-23 10:19:41.675215;2021-05-23 10:15:00;1642.2544011511327;3507.295166015625;1865.0407648644923;1240.016015625;134.23649172351006;1.9408250937830909;1686.4749064156708;44.22050526453813;-1;1247.2606602938843;0.668757854407813;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-05-23 08:39:08.433250;2021-05-23 09:19:08.433250;2021-05-23 09:39:08.433250;2021-05-23 10:19:08.433250;2021-05-23 09:51:00;1337.964535953061;3767.708251953125;2429.743716000064;1255.902734375;118.40841960874215;3.2220707702088642;1327.8307050176102;-10.13383093545076;-1;1261.472247829829;0.5191791379160401;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-05-23 08:38:31.837184;2021-05-23 09:18:31.837184;2021-05-23 09:38:31.837184;2021-05-23 10:18:31.837184;2021-05-23 10:04:00;1008.8361716651158;2110.7734375;1101.9372658348843;797.7973958333333;87.26487465076406;1.7071387920426826;1129.598996632206;120.7628249670903;-1;802.5558193336224;0.7283135294689982;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-05-23 08:37:54.380865;2021-05-23 09:17:54.380865;2021-05-23 09:37:54.380865;2021-05-23 10:17:54.380865;2021-05-23 09:54:00;1114.1077593269376;2363.22802734375;1249.1202680168124;835.5272786458333;90.74992359360584;2.5052213195664876;1136.1199738741366;22.012214547198937;-1;840.4411829471218;0.6728264719308917;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-05-23 08:37:17.325552;2021-05-23 09:17:17.325552;2021-05-23 09:37:17.325552;2021-05-23 10:17:17.325552;2021-05-23 09:42:00;535.5953553541374;1369.7130126953125;834.1176573411751;559.1830078125;55.33328043446983;2.2926033273553195;495.4480269778106;-40.147328376326755;-1;561.9140576190225;0.6736628252304045;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-05-23 08:36:40.096232;2021-05-23 09:16:40.096232;2021-05-23 09:36:40.096232;2021-05-23 10:16:40.096232;2021-05-23 10:01:00;697.6954048740065;1773.804443359375;1076.1090384853685;627.1345703125;62.2219414998573;3.248670216302983;597.6309360211397;-100.06446885286675;-1;630.2137250846381;0.5856411409494977;1.0
