Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;True;0;0.0043233436134547535;0.00023334361345475358;0.0002466563865452468;2021-08-24 11:11:10.638762710;2021-08-24 11:41:10.638762710;2021-08-24 13:11:10.638762710;2021-08-24 13:41:10.638762710;2021-08-24 13:36:00;300530.3827202381;13892649.6;13592119.217279762;100.95557861328125;60.14800355098238;123.82752989270507;5583815.410751749;5283285.02803151;48.13201858239613;117.51515299871501;8.645830066684312e-06;0.8666666666666667
2021-08-24-1500;Resampled to 2min;;1;0.004575183056447031;0.00020518305644703135;0.00021481694355296888;2021-08-24 11:10:02.557602216;2021-08-24 11:40:02.557602216;2021-08-24 13:10:02.557602216;2021-08-24 13:40:02.557602216;2021-08-24 13:40:00;406361.6529416666;23504492.346666664;23098130.693724997;219.4200185718557;68.33453332619798;265.84198420182753;8820640.953842724;8414279.300901057;96.84197975326147;229.81460570421274;9.949489365676063e-06;1.0
;;;2;0.004760588198951889;0.0002005881989518895;0.00020941180104811028;2021-08-24 11:09:15.942447870;2021-08-24 11:39:15.942447870;2021-08-24 13:09:15.942447870;2021-08-24 13:39:15.942447870;2021-08-24 13:38:00;377931.26438749995;22146890.3775;21768959.1131125;360.1731391188211;66.9322835608098;161.05523253813888;7210838.995857954;6832907.7314704545;50.55251093474429;366.3394883511335;1.6828525720849438e-05;1.0
;;;3;0.005064316340830221;0.00023431634083022086;0.00024568365916977867;2021-08-24 11:08:05.209564269;2021-08-24 11:38:05.209564269;2021-08-24 13:08:05.209564269;2021-08-24 13:38:05.209564269;2021-08-24 13:36:00;225003.0106271164;11256887.280000001;11031884.269372884;96.96003540039062;53.50481776564403;119.13724758315753;5021577.745437411;4796574.734810295;51.799919014623306;110.74300875892699;1.0038449103964564e-05;0.9333333333333333
;;;4;0.005356631404156907;0.0001866314041569072;0.00019336859584309293;2021-08-24 11:07:02.924471615;2021-08-24 11:37:02.924471615;2021-08-24 13:07:02.924471615;2021-08-24 13:37:02.924471615;2021-08-24 13:34:00;303505.80191746034;15110525.503999999;14807019.702082539;382.2311520390014;64.08931025375561;166.4399839866497;5651887.070598736;5348381.268681276;60.11908612430687;387.56688877903946;2.6174537251715142e-05;1.0
;;;5;0.005586770086552695;0.00018677008655269486;0.00019322991344730527;2021-08-24 11:06:17.384254703;2021-08-24 11:36:17.384254703;2021-08-24 13:06:17.384254703;2021-08-24 13:36:17.384254703;2021-08-24 13:34:00;268464.86477812496;13967890.047;13699425.182221875;364.54452222158125;61.08343558561982;214.7101461816419;5325545.768185227;5057080.903407102;79.25928026761372;369.6266965259727;2.6981182904348976e-05;1.0
;;;6;0.005836908428269198;0.00018690842826919827;0.00019309157173080186;2021-08-24 11:05:30.990102844;2021-08-24 11:35:30.990102844;2021-08-24 13:05:30.990102844;2021-08-24 13:35:30.990102844;2021-08-24 13:34:00;248131.39176984128;11920687.478333334;11672556.086563492;443.49114356268393;67.01599686105924;148.44659156691392;3941155.998480688;3693024.6067108465;46.96631238037324;448.5259616274387;3.842568485438641e-05;1.0
;;;7;0.0062145635405875446;0.00025456354058754453;0.0002654364594124551;2021-08-24 11:04:26.355405082;2021-08-24 11:34:26.355405082;2021-08-24 13:04:26.355405082;2021-08-24 13:34:26.355405082;2021-08-24 13:32:00;162252.45050208335;7842540.09;7680287.639497916;154.52714020977584;60.00157979083061;199.67098831894725;3461810.638888889;3299558.188386806;85.7814284328208;165.76738713874673;2.1583486832738395e-05;1.0
;;;8;0.00659754499795189;0.0001775449979518895;0.00018245500204810972;2021-08-24 11:03:26.595173747;2021-08-24 11:33:26.595173747;2021-08-24 13:03:26.595173747;2021-08-24 13:33:26.595173747;2021-08-24 13:32:00;163786.58936802452;8192346.975000001;8028560.385631976;431.703098984222;66.32271534593073;172.97004155182495;2808921.313261364;2645134.7238933397;56.987684108449436;436.7679798742558;5.4401780505494094e-05;1.0
;;;9;0.006882514075539548;0.00018251407553954765;0.00018748592446045202;2021-08-24 11:02:45.424139695;2021-08-24 11:32:45.424139695;2021-08-24 13:02:45.424139695;2021-08-24 13:32:45.424139695;2021-08-24 13:32:00;181003.61149934048;7168385.587499999;6987381.976000659;417.6148838444442;63.99717808487882;109.6278144002794;2643547.2383203125;2462543.626820972;38.635826208006776;422.49003539874917;6.0464711511387584e-05;1.0
;;;10;0.007992058558344027;0.0009420585583440272;0.0010679414416559733;2021-08-24 11:00:26.820857074;2021-08-24 11:30:26.820857074;2021-08-24 13:00:26.820857074;2021-08-24 13:30:26.820857074;2021-08-24 13:24:00;66172.17263085938;1996221.7125000001;1930049.5398691408;57.78726882934571;36.31033345213882;105.47779305937257;925887.475062145;859715.3024312856;46.98370217272832;68.2481410308045;3.536082345090054e-05;0.8
;;;11;0.009427544749297136;0.00036754474929713565;0.0003824552507028633;2021-08-24 10:58:05.478298141;2021-08-24 11:28:05.478298141;2021-08-24 12:58:05.478298141;2021-08-24 13:28:05.478298141;2021-08-24 13:28:00;62908.28521066469;1754125.4506250003;1691217.1654143357;234.27949874517302;42.17479215284724;81.3118369424573;915508.2364388312;852599.9512281665;40.992055679867256;238.0453667379926;0.00014075387336768975;1.0
;;;12;0.010027586948014961;0.0002175869480149622;0.00022241305198503897;2021-08-24 10:57:15.680279666;2021-08-24 11:27:15.680279666;2021-08-24 12:57:15.680279666;2021-08-24 13:27:15.680279666;2021-08-24 13:24:00;77371.15182478093;1340662.1275000002;1263290.9756752192;256.3226435623529;46.75459537018659;51.82010761945093;703967.7054479456;626596.5536231647;25.702946880764603;260.5518946218255;0.00020624852044285566;1.0
;;;13;0.010467688379007087;0.00021768837900708674;0.00022231162099291268;2021-08-24 10:56:41.936727939;2021-08-24 11:26:41.936727939;2021-08-24 12:56:41.936727939;2021-08-24 13:26:41.936727939;2021-08-24 13:26:00;69945.39952748326;1079190.6714843751;1009245.2719568919;245.1999320927885;45.72441036365812;42.469223298612796;653845.9453851714;583900.5458576882;24.570640413434855;249.4267996856238;0.0002471419055568066;1.0
;;;14;0.01118838236743811;0.0004983823674381098;0.0005216176325618903;2021-08-24 10:55:51.084292763;2021-08-24 11:25:51.084292763;2021-08-24 12:55:51.084292763;2021-08-24 13:25:51.084292763;2021-08-24 13:12:00;48215.14283439359;922062.366875;873847.2240406064;198.0442615777333;36.43282754968585;56.086235980115234;489432.465940997;441217.3231066034;28.318701738099;201.3675258504578;0.0002304379075776529;1.0
;;;15;0.011957386838268635;0.00024738683826863554;0.0002526131617313649;2021-08-24 10:55:02.029506095;2021-08-24 11:25:02.029506095;2021-08-24 12:55:02.029506095;2021-08-24 13:25:02.029506095;2021-08-24 13:12:00;53990.082373788864;751068.7514583333;697078.6690845445;226.08474656206363;41.57246515599952;31.12846211776497;405626.23492815654;351636.15255436767;15.702521307100412;229.8751454315567;0.00032976930097925074;1.0
;;;16;0.012467289200142909;0.0002572892001429083;0.00026271079985709135;2021-08-24 10:54:32.064318555;2021-08-24 11:24:32.064318555;2021-08-24 12:54:32.064318555;2021-08-24 13:24:32.064318555;2021-08-24 13:12:00;52115.08163206846;602321.9503125;550206.8686804315;212.20620050049442;40.269830947520724;35.2783207843908;376325.6996979167;324210.61806584825;20.78782879113008;215.99335826686416;0.000392567542431602;1.0
;;;17;0.013287780100528456;0.0005577801005284561;0.0005822198994715443;2021-08-24 10:53:47.560861818;2021-08-24 11:23:47.560861818;2021-08-24 12:53:47.560861818;2021-08-24 13:23:47.560861818;2021-08-24 13:12:00;45097.02996132812;505264.36468750006;460167.3347261719;163.9379872201143;32.0950336055636;33.00867197954225;289330.9001076389;244233.8701463108;17.51935675910369;167.0501566474112;0.0003630204580836152;1.0
;;;18;0.014157030055770879;0.0002870300557708781;0.0002929699442291208;2021-08-24 10:53:04.751990120;2021-08-24 11:23:04.751990120;2021-08-24 12:53:04.751990120;2021-08-24 13:23:04.751990120;2021-08-24 13:08:00;32572.97676415344;412240.0;379667.02323584654;181.88910583714664;35.55326304734612;23.866145526285717;243177.86293602694;210604.88617187348;13.238776491795685;185.3312745748826;0.00048814161681815616;1.0
;;;19;0.014766533106995695;0.0003165331069956961;0.00032346689300430387;2021-08-24 10:52:37.046965191;2021-08-24 11:22:37.046965191;2021-08-24 12:52:37.046965191;2021-08-24 13:22:37.046965191;2021-08-24 13:06:00;43703.34454433593;375856.685859375;332153.3413150391;169.99697883660755;34.010368036472805;18.71613896614294;231767.79640937498;188064.45186503904;10.597034495459404;173.36573464081744;0.0005219448762864751;1.0
;;;20;0.01574575180802746;0.0006557518080274605;0.0006842481919725404;2021-08-24 10:51:55.999065661;2021-08-24 11:21:55.999065661;2021-08-24 12:51:55.999065661;2021-08-24 13:21:55.999065661;2021-08-24 13:06:00;34986.16004664765;262293.66136067704;227307.5013140294;128.07054504277926;26.19130999147761;19.83249232501147;156189.35526548687;121203.19521883922;10.574932305571632;130.7212653955898;0.0005750855763224286;1.0
;;;21;0.016805704388688978;0.00037570438868897785;0.0003842956113110224;2021-08-24 10:51:15.734517888;2021-08-24 11:21:15.734517888;2021-08-24 12:51:15.734517888;2021-08-24 13:21:15.734517888;2021-08-24 13:00:00;30335.72000399127;268787.4665364583;238451.74653246702;144.0008871987744;28.35266820743069;14.671965872499504;137355.99900634927;107020.279002358;6.584971190278858;146.7655589997694;0.0006154937472004894;1.0
;;;22;0.01793869560475343;0.0007486956047534285;0.0007813043952465716;2021-08-24 10:50:36.766803410;2021-08-24 11:20:36.766803410;2021-08-24 12:50:36.766803410;2021-08-24 13:20:36.766803410;2021-08-24 13:00:00;17771.7765906653;260639.36015624998;242867.58356558467;119.43482055150525;23.2603615659505;33.16733189909737;104980.63488905164;87208.85829838633;11.909720948587756;121.6787605966999;0.0005010086517529888;1.0
;;;23;0.01910601999370879;0.0003860199937087902;0.00039398000629120924;2021-08-24 10:50:00.361210426;2021-08-24 11:20:00.361210426;2021-08-24 12:50:00.361210426;2021-08-24 13:20:00.361210426;2021-08-24 13:00:00;27312.75073192067;233983.46448567708;206670.7137537564;132.5620113993003;26.355962798773668;22.673624972871234;95639.69222158808;68326.9414896674;7.4960763368045225;135.15666332548523;0.0006539710482953158;1.0
