Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-22-1830;Mean;True;0;0.0043233436134547535;0.00023334361345475358;0.0002466563865452468;2021-05-22 21:01:07.354413;2021-05-22 22:01:07.354413;2021-05-22 22:31:07.354413;2021-05-22 23:31:07.354413;2021-05-22 23:28:00;6944283.361666666;8265950.949999999;1321667.588333333;253.99604246421643;44.38098311451415;-1.0;6324566.746666667;-619716.6149999993;-1.0;257.8442577403942;0.00019509009679623333;1.0
2021-05-22-2359;Resampled to 2min;;1;0.004575183056447031;0.00020518305644703135;0.00021481694355296888;2021-05-22 20:59:26.296441;2021-05-22 21:59:26.296441;2021-05-22 22:29:26.296441;2021-05-22 23:29:26.296441;2021-05-22 23:28:00;6363562.541569445;7679210.7508333335;1315648.2092638882;294.55370704861144;50.99102185683883;-1.0;5687307.089958333;-676255.4516111119;-1.0;298.93472639705783;0.00022721478605919535;1.0
;;;2;0.004760588198951889;0.0002005881989518895;0.00020941180104811028;2021-05-22 20:58:17.102071;2021-05-22 21:58:17.102071;2021-05-22 22:28:17.102071;2021-05-22 23:28:17.102071;2021-05-22 23:26:00;5617223.373999999;6940838.73;1323615.3560000015;291.1176433185893;50.1840307964964;-1.0;5234159.984375;-383063.3896249989;-1.0;295.41144053396624;0.00022318526239126368;1.0
;;;3;0.005064316340830221;0.00023431634083022086;0.00024568365916977867;2021-05-22 20:56:32.107947;2021-05-22 21:56:32.107947;2021-05-22 22:26:32.107947;2021-05-22 23:26:32.107947;2021-05-22 23:26:00;4793945.523027779;6380689.900000001;1586744.3769722227;240.82497369800117;41.18872591307323;-1.0;4469245.147138889;-324700.37588888966;-1.0;244.321876013969;0.00015397683430281098;1.0
;;;4;0.005356631404156907;0.0001866314041569072;0.00019336859584309293;2021-05-22 20:54:59.653513;2021-05-22 21:54:59.653513;2021-05-22 22:24:59.653513;2021-05-22 23:24:59.653513;2021-05-22 23:24:00;4288153.820861111;5163156.045;875002.2241388885;287.02042852706876;49.39728122331446;-1.0;4009284.0040833335;-278869.81677777786;-1.0;291.24013765983113;0.0003328450255614468;1.0
;;;5;0.005586770086552695;0.00018677008655269486;0.00019322991344730527;2021-05-22 20:53:52.054753;2021-05-22 21:53:52.054753;2021-05-22 22:23:52.054753;2021-05-22 23:23:52.054753;2021-05-22 23:22:00;3919004.3154375004;4867926.39;948922.0745624993;276.2183550124833;48.142988254123715;-1.0;3677661.6682500006;-241342.6471874998;-1.0;280.3824655070979;0.0002954747002132586;1.0
;;;6;0.005836908428269198;0.00018690842826919827;0.00019309157173080186;2021-05-22 20:52:43.188434;2021-05-22 21:52:43.188434;2021-05-22 22:22:43.188434;2021-05-22 23:22:43.188434;2021-05-22 23:22:00;3365479.6446874994;4306351.031250001;940871.3865625015;308.8604134731789;52.46937914672299;-1.0;3223484.921777778;-141994.72290972155;-1.0;313.2854780529503;0.000332973754465578;1.0
;;;7;0.0062145635405875446;0.00025456354058754453;0.0002654364594124551;2021-05-22 20:51:07.246304;2021-05-22 21:51:07.246304;2021-05-22 22:21:07.246304;2021-05-22 23:21:07.246304;2021-05-22 23:20:00;2963169.015125;3858066.9600000004;894897.9448750005;284.1878371837365;47.86894723149848;-1.0;2884656.3927499996;-78512.62237500027;-1.0;288.1911915937437;0.0003220380527681269;1.0
;;;8;0.00659754499795189;0.0001775449979518895;0.00018245500204810972;2021-05-22 20:49:38.539711;2021-05-22 21:49:38.539711;2021-05-22 22:19:38.539711;2021-05-22 23:19:38.539711;2021-05-22 23:06:00;2460160.796484375;3411059.5125000007;950898.7160156257;309.3988748099402;52.692643294083055;-1.0;2452901.29078125;-7259.505703124683;-1.0;313.8537531892434;0.00033006012933146705;1.0
;;;9;0.006882514075539548;0.00018251407553954765;0.00018748592446045202;2021-05-22 20:48:37.426457;2021-05-22 21:48:37.426457;2021-05-22 22:18:37.426457;2021-05-22 23:18:37.426457;2021-05-22 23:14:00;2169192.5939062494;2921452.8609375004;752260.267031251;302.14136644993516;51.20165141568372;-1.0;2228857.8684375;59665.27453125082;-1.0;306.44904050743446;0.00040737103092898524;1.0
;;;10;0.007992058558344027;0.0009420585583440272;0.0010679414416559733;2021-05-22 20:45:11.687210;2021-05-22 21:45:11.687210;2021-05-22 22:15:11.687210;2021-05-22 23:15:11.687210;2021-05-22 23:02:00;1481135.2603636363;1842293.7000000002;361158.4396363639;48.93998222351075;26.61191811793094;-1.0;1457659.7925372869;-23475.467826349428;-1.0;55.707414640719136;0.00015424647059835767;0.8
;;;11;0.009427544749297136;0.00036754474929713565;0.0003824552507028633;2021-05-22 20:41:41.881849;2021-05-22 21:41:41.881849;2021-05-22 22:11:41.881849;2021-05-22 23:11:41.881849;2021-05-22 23:06:00;934916.5724114584;1713338.5445833334;778421.9721718751;204.22234383960947;32.083926793932484;-1.0;1101637.087199653;166720.51478819468;-1.0;206.7272214340968;0.0002655721817015355;1.0
