;Plot_period;Averaging;Ion_masking;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan;Ion_contamination_correction;Unnamed: 2
0;;;;0.0047605881989518;0.0002005881989518;0.0002094118010481;2021-04-17 15:25:13.044067;2021-04-17 16:55:13.044067;2021-04-17 17:55:13.044067;2021-04-17 19:25:13.044067;2021-04-17 18:06:00;238126.15332604168;621916.4109375;383790.2576114583;209.39450508716288;29.950531162131742;4.67560342129558;229111.65032361125;-9014.503002430429;-1.0;211.5256321999575;0.0005511490404066;1.0;;
1;;;;0.0068825140755395;0.0001825140755395;0.0001874859244604;2021-04-17 15:16:03.877696;2021-04-17 16:46:03.877696;2021-04-17 17:46:03.877696;2021-04-17 19:16:03.877696;2021-04-17 19:16:00;53307.544640696855;133753.3109552557;80445.76631455884;147.108039166407;22.298124149269224;3.745698746534584;54807.8528086614;1500.3081679645402;-1.0;148.7883783363518;0.001849548896763;1.0;;
2;;;;0.007992058558344;0.000942058558344;0.0010679414416559;2021-04-17 15:12:48.966830;2021-04-17 16:42:48.966830;2021-04-17 17:42:48.966830;2021-04-17 19:12:48.966830;2021-04-17 19:02:00;22890.212104410806;51019.26543856535;28129.053334154545;87.00877730613598;13.157841999041976;4.706208949789509;28810.605541280904;5920.3934368700975;-1.0;87.99804619638164;0.0031283685643815;1.0;;
3;;;;0.0094275447492971;0.0003675447492971;0.0003824552507028;2021-04-17 15:09:30.203857;2021-04-17 16:39:30.203857;2021-04-17 17:39:30.203857;2021-04-17 19:09:30.203857;2021-04-17 18:36:00;19438.60096290285;47430.718396661934;27992.11743375909;97.26297268178422;13.415518398401984;4.262975248217178;23593.604681823766;4155.003718920918;-1.0;98.18381734682842;0.0035075523521638;1.0;;
4;;;;0.0100275869480149;0.0002175869480149;0.000222413051985;2021-04-17 15:08:20.175393;2021-04-17 16:38:20.175393;2021-04-17 17:38:20.175393;2021-04-17 19:08:20.175393;2021-04-17 18:32:00;17785.108455343874;47815.10891493056;30030.00045958668;101.97245074290188;13.029994662272406;3.400770698815767;21983.592429671404;4198.48397432753;-1.0;102.8015635650178;0.0034232954376196;1.0;;
5;;;;0.010467688379007;0.000217688379007;0.0002223116209929;2021-04-17 15:07:32.723524;2021-04-17 16:37:32.723524;2021-04-17 17:37:32.723524;2021-04-17 19:07:32.723524;2021-04-17 18:50:00;14106.60350820778;40806.90351562501;26700.30000741723;102.6599871870368;11.673446116726309;3.205387805680856;21786.702977253703;7680.0994690459265;-1.0;103.32154815662932;0.003869677424146;1.0;;
6;;;;0.0111883823674381;0.0004983823674381;0.0005216176325618;2021-04-17 15:06:21.212287;2021-04-17 16:36:21.212287;2021-04-17 17:36:21.212287;2021-04-17 19:06:21.212287;2021-04-17 18:44:00;11176.882395037428;28776.97828125;17600.09588621257;67.1334614681494;10.464724337770797;4.139231678156199;16452.892442273176;5276.010047235748;-1.0;67.94418374048682;0.0038604439532464;1.0;;
7;;;;0.0119573868382686;0.0002473868382686;0.0002526131617313;2021-04-17 15:05:12.228993;2021-04-17 16:35:12.228993;2021-04-17 17:35:12.228993;2021-04-17 19:05:12.228993;2021-04-17 18:44:00;12942.221738375703;39740.077093750006;26797.855355374304;83.11459906688812;10.071519241203616;3.9939553511224575;16641.795473076498;3699.5737347007935;-1.0;83.72259000936064;0.0031242272524831;1.0;;
8;;;;0.0124672892001429;0.0002572892001429;0.000262710799857;2021-04-17 15:04:30.090448;2021-04-17 16:34:30.090448;2021-04-17 17:34:30.090448;2021-04-17 19:04:30.090448;2021-04-17 18:28:00;11368.464213626405;36497.481562500005;25129.017348873604;91.11319044569731;9.61292050266803;3.9670847759927934;14758.62572159392;3390.161507967517;-1.0;91.61889386902968;0.0036459401733485;1.0;;
9;;;;0.0132877801005284;0.0005577801005284;0.0005822198994715;2021-04-17 15:03:27.507462;2021-04-17 16:33:27.507462;2021-04-17 17:33:27.507462;2021-04-17 19:03:27.507462;2021-04-17 18:46:00;9882.530940242645;25014.4021875;15131.871247257355;72.87243749905527;8.422876112821763;3.554265426500201;14212.294216067296;4329.763275824653;-1.0;73.35759666909529;0.0048478866539649;1.0;;
10;;;;0.0141570300557708;0.0002870300557708;0.0002929699442291;2021-04-17 15:02:27.307486;2021-04-17 16:32:27.307486;2021-04-17 17:32:27.307486;2021-04-17 19:02:27.307486;2021-04-17 18:34:00;7388.723292283955;25469.142272727277;18080.41898044332;70.39313255036849;8.360228473090505;3.8336566875448224;11368.288582239058;3979.5652899551033;-1.0;70.8878447293753;0.0039206970151549;1.0;;
11;;;;0.0147665331069956;0.0003165331069956;0.0003234668930043;2021-04-17 15:01:48.347295;2021-04-17 16:31:48.347295;2021-04-17 17:31:48.347295;2021-04-17 19:01:48.347295;2021-04-17 18:42:00;5436.208947776594;32737.935781249995;27301.7268334734;71.73692747785712;7.396733862238513;7.854114343039138;11690.357524427867;6254.148576651275;1.7991828260163316;72.11725477160176;0.0026414905991654;1.0;;
