Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-26-2000;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-08-26 21:53:47.649265450;2021-08-26 22:33:47.649265450;2021-08-26 23:23:47.649265450;2021-08-27 00:03:47.649265450;2021-08-26 23:50:00;0.03446752578020096;1.0340259075164795;0.9995583817362785;0.5969950993855794;0.01723376433054606;9.545068989459677;0.1637207567691803;0.12925323098897934;1.2342760857623227;0.5972437955503587;0.5975076658483108;1.0
2021-08-27-0200;Resampled to 1min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-08-26 21:53:24.108788985;2021-08-26 22:33:24.108788985;2021-08-26 23:23:24.108788985;2021-08-27 00:03:24.108788985;2021-08-26 23:54:00;0.030909981578588486;0.4300520122051239;0.3991420306265354;0.1520463466644287;0.006445178233568376;9.133336436202747;0.09810559451580048;0.06719561293721199;1.5375983807795313;0.15218288949964806;0.381275029494553;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-08-26 21:53:16.616430800;2021-08-26 22:33:16.616430800;2021-08-26 23:23:16.616430800;2021-08-27 00:03:16.616430800;2021-08-26 23:59:00;0.004080349579453468;0.046632569283246994;0.042552219703793526;0.032974205414454144;0.0015422272254257982;4.742629399858853;0.004663256928324699;0.0005829073488712311;-1.0;0.03301025124911141;0.7757586203233612;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-08-26 21:53:14.709085575;2021-08-26 22:33:14.709085575;2021-08-26 23:23:14.709085575;2021-08-27 00:03:14.709085575;2021-08-26 23:33:00;0.0006557224551215768;0.013114448636770248;0.012458726181648672;0.00927331546942393;0.00032786120971043905;6.253667833414168;0.003442543325945735;0.002786820870824158;1.398847023625176;0.009279109481426002;0.7447879780112554;1.0
