Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-09-1100;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-05-09 11:23:03.043651;2021-05-09 13:23:03.043651;2021-05-09 14:23:03.043651;2021-05-09 16:23:03.043651;2021-05-09 15:35:00;1378.162645842048;39947.0852571926;38568.92261135055;2433.0258720056486;94.63340916318994;78.71960240730235;19496.438210048345;18118.2755642063;36.97960306260986;2434.8655765726976;0.06313024610794118;1.0
2021-05-09-17;Resampled to 5min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-05-09 11:22:27.517090;2021-05-09 13:22:27.517090;2021-05-09 14:22:27.517090;2021-05-09 16:22:27.517090;2021-05-09 15:35:00;1977.474590960661;57354.95516035177;55377.480569391104;2978.7791280090128;114.77507532703713;81.94312878889505;28551.19518708858;26573.720596127918;39.321648201023706;2980.9895020577414;0.05383035615573723;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-05-09 11:22:02.648188;2021-05-09 13:22:02.648188;2021-05-09 14:22:02.648188;2021-05-09 16:22:02.648188;2021-05-09 15:20:00;1333.9140755661692;40268.90502887038;38934.99095330421;2020.157119579866;76.80924836774743;99.19000899249119;21054.89953546615;19720.98545989998;50.24079053862631;2021.616790696011;0.05192287814117104;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-05-09 11:21:17.663207;2021-05-09 13:21:17.663207;2021-05-09 14:21:17.663207;2021-05-09 16:21:17.663207;2021-05-09 15:20:00;1042.9414777313177;37001.87861429387;35958.937136562556;1863.0905047920373;65.53416855730372;103.5725365273542;18913.67119249257;17870.72971476125;51.47306771396747;1864.2427299830742;0.05184365496964419;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-05-09 11:20:41.675215;2021-05-09 13:20:41.675215;2021-05-09 14:20:41.675215;2021-05-09 16:20:41.675215;2021-05-09 15:20:00;869.5170891080278;34131.358414033246;33261.84132492522;1731.6120735081295;58.02054263022015;118.5128455068263;17274.32471112309;16404.80762201506;58.450775839044695;1732.5838382272384;0.052089234065610876;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-05-09 11:20:08.433250;2021-05-09 13:20:08.433250;2021-05-09 14:20:08.433250;2021-05-09 16:20:08.433250;2021-05-09 15:30:00;869.6215051663975;30490.972482873305;29621.35097770691;1599.625249837707;56.597123362046936;108.26126474113913;15421.386318587844;14551.764813421447;53.18435557183925;1600.6261819335598;0.05403623160666083;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-05-09 11:19:31.837184;2021-05-09 13:19:31.837184;2021-05-09 14:19:31.837184;2021-05-09 16:19:31.837184;2021-05-09 15:20:00;711.2039653888269;26180.721767032435;25469.517801643608;1257.8413452563223;43.545693979088384;98.51544469497057;13668.68485254159;12957.480887152764;50.119205305177;1258.5948821206746;0.0494157326386232;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-05-09 11:18:54.380865;2021-05-09 13:18:54.380865;2021-05-09 14:18:54.380865;2021-05-09 16:18:54.380865;2021-05-09 15:20:00;657.709387426417;24647.28917611372;23989.579788687304;1207.927088325935;41.43180839543741;116.32423170995868;13103.3632800552;12445.653892628783;60.348332065024415;1208.6374334176844;0.05038176758676023;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-05-09 11:18:17.325552;2021-05-09 13:18:17.325552;2021-05-09 14:18:17.325552;2021-05-09 16:18:17.325552;2021-05-09 15:20:00;561.9611437933831;18173.333429218408;17611.372285425026;912.0212061834038;33.73058657947932;117.98506691100101;10917.262806680008;10355.301662886624;69.37397834638942;912.6447463275217;0.051821330645699666;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-05-09 11:17:40.096232;2021-05-09 13:17:40.096232;2021-05-09 14:17:40.096232;2021-05-09 16:17:40.096232;2021-05-09 15:20:00;413.3826172394651;18184.077179009677;17770.69456177021;899.033984990402;28.765407960413185;113.09718158528194;9981.625013105804;9568.242395866338;60.894707516119276;899.4940549346902;0.050616707850561805;1.0
;;;10;0.06495929494691272;0.00225929494691271;0.002340705053087283;2021-05-09 11:17:07.521725;2021-05-09 13:17:07.521725;2021-05-09 14:17:07.521725;2021-05-09 16:17:07.521725;2021-05-09 14:40:00;323.88119925421734;16025.386996632435;15701.505797378217;836.0636711182259;25.41054395226108;116.09031779465477;8334.613819556618;8010.7326203024;59.227981549017805;836.4497342384865;0.05327194378886603;1.0
;;;11;0.07014007413740023;0.002840074137400228;0.0029599258625997715;2021-05-09 11:16:35.371415;2021-05-09 13:16:35.371415;2021-05-09 14:16:35.371415;2021-05-09 16:16:35.371415;2021-05-09 14:40:00;281.7975627874478;14021.372081410997;13739.574518623549;703.6499913517304;21.446175847653027;147.4415069550813;7304.919637261471;7023.122074474023;75.36621318122772;703.9767388115737;0.05123715715194499;1.0
;;;12;0.0758965084835923;0.002796508483592308;0.0029034915164076885;2021-05-09 11:16:03.821623;2021-05-09 13:16:03.821623;2021-05-09 14:16:03.821623;2021-05-09 16:16:03.821623;2021-05-09 14:40:00;244.49315648326646;14319.31452594893;14074.821369465664;707.0772005851311;19.979767702445415;136.6344914243222;6325.831685013666;6081.338528530399;59.035960401423694;707.3594268154976;0.050257080231942704;1.0
