Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-22-1830;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-05-22 20:08:44.233019;2021-05-22 21:08:44.233019;2021-05-22 21:38:44.233019;2021-05-22 22:38:44.233019;2021-05-22 22:28:00;0.0861688032746315;0.8616881966590881;0.7755193933844566;0.38535868326822914;0.022248694009950786;6.155248389759747;0.14361469447612762;0.057445891201496124;-1.0;0.3860004134134726;0.4977314773895234;1.0
2021-05-22-2359;Resampled to 2min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-05-22 20:08:08.735475;2021-05-22 21:08:08.735475;2021-05-22 21:38:08.735475;2021-05-22 22:38:08.735475;2021-05-22 22:20:00;0.047484900802373886;0.21502600610256195;0.16754110530018806;0.07602317333221435;0.006522554078742692;4.983688698675145;0.11109676212072372;0.06361186131834984;1.892202595810348;0.07630246781861011;0.4554253577466667;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-05-22 20:07:57.437475;2021-05-22 21:07:57.437475;2021-05-22 21:37:57.437475;2021-05-22 22:37:57.437475;2021-05-22 22:36:00;0.00893790926784277;0.03497442603111267;0.0260365167632699;0.02019249399503072;0.0018636828348615017;2.732908675784803;0.009326513856649399;0.0003886045888066292;-1.0;0.0202783166818232;0.7788413813644274;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-05-22 20:07:54.561320;2021-05-22 21:07:54.561320;2021-05-22 21:37:54.561320;2021-05-22 22:37:54.561320;2021-05-22 21:46:00;0.0024043158628046513;0.009835836477577686;0.007431520614773035;0.005678722759087881;0.000512601795372163;2.498565550270322;0.0018578805029392242;-0.000546435359865427;-1.0;0.005701811359138554;0.7672469276077885;1.0
