Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2022-01-13-0900;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2022-01-13 11:22:17.602005410;2022-01-13 12:22:17.602005410;2022-01-13 13:22:17.602005410;2022-01-13 14:22:17.602005410;2022-01-13 14:04:00;466.7083978509674;2586.3326639632814;2119.624266112314;977.5617201645921;75.9229838703311;5.025431553829608;910.2602413661377;443.55184351517033;-1.0;980.505592136491;0.46258462304494874;1.0
2022-01-13-1600;Resampled to 2min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2022-01-13 11:21:41.701480402;2022-01-13 12:21:41.701480402;2022-01-13 13:21:41.701480402;2022-01-13 14:21:41.701480402;2022-01-13 13:56:00;513.6216435768172;3088.822021484375;2575.2003779075576;1092.0635416666667;81.39862702731888;5.501246202851977;1183.039820376552;669.4181767997347;1.4300379243621835;1095.092925517956;0.4252457148238531;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2022-01-13 11:21:16.570800965;2022-01-13 12:21:16.570800965;2022-01-13 13:21:16.570800965;2022-01-13 14:21:16.570800965;2022-01-13 13:54:00;453.9874974336037;2523.808385465499;2069.8208880318953;799.5368666420273;61.932056687801264;6.331127681366403;892.3872860078902;438.3997885742865;-1.0;801.9319053169864;0.3874402417880271;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2022-01-13 11:20:31.112293059;2022-01-13 12:20:31.112293059;2022-01-13 13:20:31.112293059;2022-01-13 14:20:31.112293059;2022-01-13 13:50:00;272.1025573194734;2574.616943359375;2302.5143860399016;776.2762369791667;46.15769789227601;9.32644244851374;693.5461224181298;421.4435650986564;1.7070769151411318;777.6473038423331;0.3377383040719281;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2022-01-13 11:19:54.745480058;2022-01-13 12:19:54.745480058;2022-01-13 13:19:54.745480058;2022-01-13 14:19:54.745480058;2022-01-13 13:38:00;240.13138501794236;1313.7926536405857;1073.6612686226433;536.9446073717901;41.976055794456094;4.356390463282504;532.6801787618277;292.54879374388537;1.1870194188392507;538.5828633049005;0.5016320128561839;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2022-01-13 11:19:21.153599958;2022-01-13 12:19:21.153599958;2022-01-13 13:19:21.153599958;2022-01-13 14:19:21.153599958;2022-01-13 13:46:00;159.5503390519156;1255.9027099609375;1096.3523709090218;512.7201497395833;33.46306998324253;6.112017166421687;445.8784546969568;286.3281156450412;1.5962407748529315;513.8109856763323;0.46865496833861425;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2022-01-13 11:18:44.172312637;2022-01-13 12:18:44.172312637;2022-01-13 13:18:44.172312637;2022-01-13 14:18:44.172312637;2022-01-13 13:48:00;160.0130244934861;1055.38671875;895.3736942565139;398.89869791666666;28.430705528270767;5.349720341097577;285.89596415132365;125.88293965783754;-1.0;399.91058527681827;0.4466409811256401;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2022-01-13 11:18:06.321716181;2022-01-13 12:18:06.321716181;2022-01-13 13:18:06.321716181;2022-01-13 14:18:06.321716181;2022-01-13 14:00:00;166.6670658211685;1477.0026507874477;1310.3355849662792;467.0739585718667;28.7091601697528;8.264824034730793;373.67324743286247;207.00618161169396;1.3056729014698965;467.95544515866715;0.35712641137705936;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2022-01-13 11:17:28.876347553;2022-01-13 12:17:28.876347553;2022-01-13 13:17:28.876347553;2022-01-13 14:17:28.876347553;2022-01-13 13:48:00;98.16274607854646;798.999267578125;700.8365214995786;301.9933268229167;19.402214480093274;6.294723575693038;231.6254363613828;133.46269028283635;1.1987256902668324;302.6159535984587;0.43179249984140655;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2022-01-13 11:16:51.255139927;2022-01-13 12:16:51.255139927;2022-01-13 13:16:51.255139927;2022-01-13 14:16:51.255139927;2022-01-13 13:44:00;80.5811601689189;554.3139038085938;473.7327436396748;247.89671223958334;17.33478591668414;6.19938911126015;165.86529841296297;85.28413824404407;1.1160502732643558;248.5020618465208;0.5245617179367563;1.0
;;;10;0.06495929494691272;0.00225929494691271;0.002340705053087283;2022-01-13 11:16:18.337743191;2022-01-13 12:16:18.337743191;2022-01-13 13:16:18.337743191;2022-01-13 14:16:18.337743191;2022-01-13 13:46:00;60.9903537667195;544.0364379882812;483.0460842215617;243.30050455729167;14.955909191923308;6.580943438020184;155.57186118060116;94.58150741388167;1.2885634950886913;243.7597479847519;0.504630419222993;1.0
;;;11;0.07014007413740023;0.002840074137400228;0.0029599258625997715;2022-01-13 11:15:45.849008798;2022-01-13 12:15:45.849008798;2022-01-13 13:15:45.849008798;2022-01-13 14:15:45.849008798;2022-01-13 14:06:00;66.9800943394677;527.1112368393829;460.13114249991514;215.71595043375405;14.079429225013888;6.439406718820756;102.4207414396376;35.4406471001699;-1.0;216.17493286419685;0.46981156652363887;1.0
;;;12;0.0758965084835923;0.002796508483592308;0.0029034915164076885;2022-01-13 11:15:13.967113674;2022-01-13 12:15:13.967113674;2022-01-13 13:15:13.967113674;2022-01-13 14:15:13.967113674;2022-01-13 13:32:00;28.523899878126524;348.33807030671494;319.8141704285884;174.1717285985473;9.181645005738865;6.733335068929376;101.30129494789536;72.77739506976883;1.5322478856765436;174.41357071058843;0.5453591079996669;1.0
;;;13;0.08212965359722393;0.003329653597223939;0.0034703464027760617;2022-01-13 11:14:43.548214842;2022-01-13 12:14:43.548214842;2022-01-13 13:14:43.548214842;2022-01-13 14:14:43.548214842;2022-01-13 13:44:00;31.409312137398995;220.79733276367188;189.3880206262729;127.47740885416667;8.847476627463685;3.80064128512997;78.22034418479524;46.81103204739624;0.9394044058887818;127.78406634180135;0.6747209560522461;1.0
;;;14;0.08941498755801512;0.003814987558015126;0.003985012441984875;2022-01-13 11:14:12.394953361;2022-01-13 12:14:12.394953361;2022-01-13 13:14:12.394953361;2022-01-13 14:14:12.394953361;2022-01-13 13:42:00;22.61437019792477;251.70529174804688;229.09092155012212;125.85264485677084;6.959092704263865;5.467966134579785;54.2654710305673;31.651100832642527;0.7554517931309406;126.04490147844547;0.5501959685943665;1.0
;;;15;0.09717376189074908;0.003773761890749086;0.003926238109250912;2022-01-13 11:13:43.444341004;2022-01-13 12:13:43.444341004;2022-01-13 13:13:43.444341004;2022-01-13 14:13:43.444341004;2022-01-13 13:44:00;22.610388354355834;125.67992401123047;103.06953565687463;88.86912434895834;6.94941791716707;2.4432251816520387;33.25807411085885;10.647685756503016;-1.0;89.14042669820502;0.8648571678343391;1.0
;;;16;0.10588668471531253;0.004786684715312531;0.005013315284687472;2022-01-13 11:13:15.119730190;2022-01-13 12:13:15.119730190;2022-01-13 13:13:15.119730190;2022-01-13 14:13:15.119730190;2022-01-13 13:50:00;12.848987405636574;149.18246459960938;136.3334771939728;86.1305419921875;4.69151811607605;5.216961549191293;29.584269498808894;16.73528209317232;0.640395337901712;86.25822051318613;0.6327002163266143;1.0
;;;17;0.11521601451187244;0.00431601451187244;0.004483985488127562;2022-01-13 11:12:48.745853199;2022-01-13 12:12:48.745853199;2022-01-13 13:12:48.745853199;2022-01-13 14:12:48.745853199;2022-01-13 13:20:00;10.506752941367841;54.423545837402344;43.9167928960345;54.42354736328125;4.446774833530359;1.6557885815072366;25.158304571009218;14.651551629641377;0.5524053622757708;54.604911079713666;1.2433720105423332;1.0
;;;18;0.1249833988976136;0.005283398897613603;0.005516601102386401;2022-01-13 11:12:24.667240076;2022-01-13 12:12:24.667240076;2022-01-13 13:12:24.667240076;2022-01-13 14:12:24.667240076;2022-01-13 13:36:00;9.998149082469023;88.69021606445312;78.6920669819841;62.71345621744792;3.9142213348659376;4.112062417675939;21.935563974046534;11.937414891577511;0.6237908981485915;62.83548933044189;0.7984983968565416;1.0
;;;19;0.13627233761846166;0.005772337618461659;0.006027662381538346;2022-01-13 11:12:00.464780388;2022-01-13 12:12:00.464780388;2022-01-13 13:12:00.464780388;2022-01-13 14:12:00.464780388;2022-01-13 13:14:00;11.732849135004171;40.12583541870117;28.392986283697;40.125834147135414;4.01552314129363;1.3236207071263715;11.810912127514289;0.07806299251011772;-1.0;40.326256857061296;1.4202893790082334;1.0
;;;20;0.14808251078368437;0.005782510783684358;0.006017489216315619;2022-01-13 11:11:38.499505711;2022-01-13 12:11:38.499505711;2022-01-13 13:11:38.499505711;2022-01-13 14:11:38.499505711;2022-01-13 13:24:00;8.990452172613333;79.34996795654297;70.35951578392964;56.10889892578125;3.502151160154277;4.103785042000991;14.282548901794552;5.292096729181219;-1.0;56.218089627913415;0.7990118891743969;1.0
;;;21;0.16085207490113393;0.006752074901133942;0.007047925098866065;2022-01-13 11:11:17.854866738;2022-01-13 12:11:17.854866738;2022-01-13 13:11:17.854866738;2022-01-13 14:11:17.854866738;2022-01-13 13:54:00;8.832003428391833;67.73992580837681;58.90792237998498;47.977299049694196;3.2012123359440428;2.9609972574809214;6.540991749363144;-2.2910116790286885;-1.0;48.083978459811206;0.8162565664707366;1.0
;;;22;0.1755267785837819;0.007626778583781912;0.00797322141621809;2022-01-13 11:10:57.330371134;2022-01-13 12:10:57.330371134;2022-01-13 13:10:57.330371134;2022-01-13 14:10:57.330371134;2022-01-13 13:38:00;3.756524777966179;56.21465881848498;52.4581340405188;41.582713328881624;1.9597339506936027;5.154823284783393;6.623952412398269;2.8674276344320906;-1.0;41.62886744735497;0.7935636333385538;1.0
;;;23;0.1913328252025773;0.007832825202577304;0.00816717479742271;2022-01-13 11:10:38.287889647;2022-01-13 12:10:38.287889647;2022-01-13 13:10:38.287889647;2022-01-13 14:10:38.287889647;2022-01-13 13:14:00;5.779733807232554;29.425609588623047;23.645875781390494;29.4256103515625;2.4038649228545217;1.965807756718503;4.693280703599219;-1.0864531036333354;-1.0;29.523636482136013;1.2485744556507976;1.0
;;;24;0.2085927851101279;0.009092785110127899;0.009507214889872079;2022-01-13 11:10:20.387704538;2022-01-13 12:10:20.387704538;2022-01-13 13:10:20.387704538;2022-01-13 14:10:20.387704538;2022-01-13 13:14:00;0.755767848424085;48.698768615722656;47.94300076729857;34.4352294921875;0.8128275686458112;10.744372945268958;4.681188950304655;3.9254211018805703;0.879715237069629;34.44482136455306;0.7184535972568391;1.0
;;;25;0.22740164907053773;0.009301649070537737;0.00969835092946228;2022-01-13 11:10:03.623141803;2022-01-13 12:10:03.623141803;2022-01-13 13:10:03.623141803;2022-01-13 14:10:03.623141803;2022-01-13 13:22:00;1.6026997288819802;24.366474151611328;22.763774422729348;24.366473388671874;1.1487752334000692;3.6783904189896166;3.8981687045766407;2.2954689756946607;0.37092403616740677;24.393538282457673;1.0715946235217049;1.0
;;;26;0.2472334524290756;0.010133452429075596;0.010566547570924373;2022-01-13 11:09:48.418653697;2022-01-13 12:09:48.418653697;2022-01-13 13:09:48.418653697;2022-01-13 14:09:48.418653697;2022-01-13 13:24:00;2.055143650931187;21.76089096069336;19.705747309762174;21.76089070638021;1.2616240029048187;2.938257607445751;3.5063728667148273;1.4512292157836404;-1.0;21.797432405210714;1.106145941210376;1.0
;;;27;0.2694851758446093;0.011685175844609319;0.012214824155390713;2022-01-13 11:09:33.767072647;2022-01-13 12:09:33.767072647;2022-01-13 13:09:33.767072647;2022-01-13 14:09:33.767072647;2022-01-13 13:14:00;2.483638777253838;19.15796661376953;16.674327836515694;19.157967122395835;1.279114592272893;2.5025316451521054;3.760926648961639;1.277287871707801;-1.0;19.20062078170821;1.1515079330310454;1.0
