Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-24-0900;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-08-24 10:25:53.167507758;2021-08-24 10:55:53.167507758;2021-08-24 11:55:53.167507758;2021-08-24 12:25:53.167507758;2021-08-24 12:00:00;0.06893505901098251;0.20680516958236694;0.13787011057138443;0.11939901987711589;0.028142619282703105;2.236067845928622;0.10340258479118347;0.03446752578020096;-1;0.12267083177229658;0.889756534348914;1.0
2021-08-24-1500;Resampled to 5min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-08-24 10:25:29.253372937;2021-08-24 10:55:29.253372937;2021-08-24 11:55:29.253372937;2021-08-24 12:25:29.253372937;2021-08-24 12:15:00;0.03583766892552376;0.07525910437107086;0.039421435445547104;0.028445266087849936;0.008013546130503089;1.513825168760338;0.053756505250930786;0.017918836325407028;-1;0.029552497092365758;0.74965553025553;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-08-24 10:25:21.642088431;2021-08-24 10:55:21.642088431;2021-08-24 11:55:21.642088431;2021-08-24 12:25:21.642088431;2021-08-24 12:00:00;0.006217675749212503;0.009326513856649399;0.0031088381074368954;0.0065948410828908285;0.002198280332765116;-1.0;0.0038860475178807974;-0.002331628231331706;-1;0.006951572867344957;2.236067825698467;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-08-24 10:25:19.704467886;2021-08-24 10:55:19.704467886;2021-08-24 11:55:19.704467886;2021-08-24 12:25:19.704467886;2021-08-24 12:10:00;0.0026228895876556635;0.005245779175311327;0.0026228895876556635;0.0026228896776835124;0.0007571630326388421;1.2909944137100067;0.0026228895876556635;0.0;-1;0.002729990131720913;1.0408330356601003;1.0
