Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-22-0400;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-05-22 05:03:44.233019;2021-05-22 05:53:44.233019;2021-05-22 06:33:44.233019;2021-05-22 07:23:44.233019;2021-05-22 06:54:00;0.11718958616256714;0.3446752727031708;0.22748568654060364;0.24372223218282063;0.028422652180083538;1.2344899186826592;0.11029607802629471;-0.00689350813627243;-1;0.24537394649213826;1.0786346614750277;1.0
2021-05-22-0900;Resampled to 2min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-05-22 05:03:08.735475;2021-05-22 05:53:08.735475;2021-05-22 06:33:08.735475;2021-05-22 07:23:08.735475;2021-05-22 06:42:00;0.05375649407505989;0.13439126312732697;0.08063476905226707;0.06010159651438395;0.007602317540153685;2.598076615615516;0.06235752999782562;0.008601035922765732;-1;0.06058050128184099;0.7512950305912452;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-05-22 05:02:57.437475;2021-05-22 05:52:57.437475;2021-05-22 06:32:57.437475;2021-05-22 07:22:57.437475;2021-05-22 06:36:00;0.009792840108275414;0.03497442603111267;0.025181585922837257;0.02019249399503072;0.002136972735079447;2.2895950760176107;0.008860188536345959;-0.0009326515719294548;-1;0.020305257107700574;0.8063533873490341;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-05-22 05:02:54.561320;2021-05-22 05:52:54.561320;2021-05-22 06:32:54.561320;2021-05-22 07:22:54.561320;2021-05-22 06:36:00;0.003934334963560104;0.006557224318385124;0.00262288935482502;0.004636657734711965;0.0007183079241155113;-1.0;0.001967167481780052;-0.001967167481780052;-1;0.004691967734619604;1.788854617900044;1.0
