;Plot_period;Averaging;Ion_contamination_correction;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan;Unnamed: 2
0;2021-12-04-0400;Mean;True;0.0329508725225903;0.0017508725225903;0.0018491274774096;2021-12-04 05:34:15.835422302;2021-12-04 06:34:15.835422302;2021-12-04 07:34:15.835422302;2021-12-04 08:34:15.835422302;2021-12-04 08:05:00;562.7495074492812;31033.002272698912;30470.252765249632;2141.731855481725;83.53548585455798;93.2275204343819;9480.040381925824;8917.290874476541;27.28355828303803;2143.3603332576045;0.0703427158865593;1.0;
1;2021-12-04-1100;Resampled to 5min;;0.0348955584566288;0.0018955584566288;0.0020044415433711;2021-12-04 05:33:38.439042086;2021-12-04 06:33:38.439042086;2021-12-04 07:33:38.439042086;2021-12-04 08:33:38.439042086;2021-12-04 08:05:00;614.3046563695794;37989.05106861652;37374.74641224694;2422.315343516104;89.16932454175583;127.05283829897864;11850.291571283877;11235.986914914296;38.19595223159193;2423.956021026944;0.0648554506374567;1.0;
2;;;;0.0363648181626142;0.0015648181626142;0.0016351818373857;2021-12-04 05:33:12.261251005;2021-12-04 06:33:12.261251005;2021-12-04 07:33:12.261251005;2021-12-04 08:33:12.261251005;2021-12-04 08:05:00;392.8339097151366;23762.912564211914;23370.078654496778;1550.33632039677;57.78129561763578;114.59943266395084;7826.480288044011;7433.646378328875;36.45223750314612;1551.4127060407393;0.0663845735813226;1.0;
3;;;;0.0392784928427759;0.0012784928427759;0.001321507157224;2021-12-04 05:32:24.908638604;2021-12-04 06:32:24.908638604;2021-12-04 07:32:24.908638604;2021-12-04 08:32:24.908638604;2021-12-04 08:05:00;309.2156347839891;17317.21721875885;17008.001583974863;1273.404431664814;49.34670524715349;112.10831932393307;5864.5096067257255;5555.293971941736;36.61774532826768;1274.3602096355398;0.0749270984802974;1.0;
4;;;;0.0418798280798763;0.0012798280798763;0.0013201719201236;2021-12-04 05:31:47.026541727;2021-12-04 06:31:47.026541727;2021-12-04 07:31:47.026541727;2021-12-04 08:31:47.026541727;2021-12-04 08:05:00;180.1212079284237;15780.149145769445;15600.02793784102;1176.3840898207536;36.53795572170301;123.1538721048238;4659.57790449707;4479.456696568646;35.362913406721724;1176.951379196152;0.0754454661161996;1.0;
5;;;;0.0445295407566707;0.0013295407566707;0.0013704592433292;2021-12-04 05:31:12.034999956;2021-12-04 06:31:12.034999956;2021-12-04 07:31:12.034999956;2021-12-04 08:31:12.034999956;2021-12-04 08:05:00;248.78871420214517;11468.010732178433;11219.222017976288;979.9991912640354;41.86614594709855;77.91190473087696;3528.426624924657;3279.6379107225125;22.775450565339263;980.8930568898056;0.0874296858835794;1.0;
6;;;;0.047762223566329;0.001862223566329;0.0019377764336709;2021-12-04 05:30:33.512825663;2021-12-04 06:30:33.512825663;2021-12-04 07:30:33.512825663;2021-12-04 08:30:33.512825663;2021-12-04 08:05:00;188.8743078479988;5606.268838886505;5417.394531038506;581.5898179327365;30.9830967001746;54.48707231275922;2154.232863816203;1965.358555968204;19.7671838641243;582.4145161344848;0.1075082334870738;1.0;
7;;;;0.0514685340766569;0.0017685340766569;0.001831465923343;2021-12-04 05:29:54.085121022;2021-12-04 06:29:54.085121022;2021-12-04 07:29:54.085121022;2021-12-04 08:29:54.085121022;2021-12-04 08:00:00;121.40809242763775;5021.516056247336;4900.107963819698;544.6972960036435;24.61943356365272;46.26199883938558;1652.808061305918;1531.3999688782803;14.457971968368028;545.2533913536678;0.1112737505743925;1.0;
8;;;;0.0556003597110666;0.0023003597110666;0.0023996402889333;2021-12-04 05:29:15.079528701;2021-12-04 06:29:15.079528701;2021-12-04 07:29:15.079528701;2021-12-04 08:29:15.079528701;2021-12-04 08:00:00;97.41113398688545;3013.106862832053;2915.695728845168;370.9201184251074;19.40313100780184;41.75491896575294;1113.501084761538;1016.0899507746524;14.551159483748895;371.4272684461947;0.1273888989072627;1.0;
9;;;;0.0603042287074463;0.0023042287074463;0.0023957712925536;2021-12-04 05:28:35.890770757;2021-12-04 06:28:35.890770757;2021-12-04 07:28:35.890770757;2021-12-04 08:28:35.890770757;2021-12-04 08:00:00;68.76868021282694;2571.77909072401;2503.010410511183;337.72237501247696;16.11082334945969;45.59246767257715;804.3776228182842;735.6089426054573;13.3991559901457;338.10643474069764;0.1350799154972939;1.0;
10;;;;0.0649592949469127;0.0022592949469127;0.0023407050530872;2021-12-04 05:28:01.601815824;2021-12-04 06:28:01.601815824;2021-12-04 07:28:01.601815824;2021-12-04 08:28:01.601815824;2021-12-04 08:00:00;42.183463698541296;1436.0647048100352;1393.881241111494;250.0202035628275;12.56721325659129;33.94866004279208;571.9247011029846;529.7412374044433;12.90210718737476;250.33584848885377;0.179596253328751;1.0;
11;;;;0.0701400741374002;0.0028400741374002;0.0029599258625997;2021-12-04 05:27:27.759384164;2021-12-04 06:27:27.759384164;2021-12-04 07:27:27.759384164;2021-12-04 08:27:27.759384164;2021-12-04 08:00:00;57.39282015949387;1127.0636350662337;1069.6708149067397;199.2664553247428;13.13085295502136;27.78621870045213;362.9087407549157;305.5159205954218;7.936209970236956;199.69862172036665;0.1866916615255858;1.0;
