Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-23-0200;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-05-23 03:37:44.233019;2021-05-23 04:17:44.233019;2021-05-23 04:37:44.233019;2021-05-23 05:17:44.233019;2021-05-23 04:54:00;0.11201945692300797;0.3446752727031708;0.2326558157801628;0.24372223218282063;0.031068610470259005;2.012461178648144;0.12063632905483246;0.008616872131824493;-1;0.24569449529187545;1.0560427834910988;1.0
2021-05-23-0700;Resampled to 2min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-05-23 03:37:08.735475;2021-05-23 04:17:08.735475;2021-05-23 04:37:08.735475;2021-05-23 05:17:08.735475;2021-05-23 05:08:00;0.08063474297523499;0.29566076397895813;0.21502602100372314;0.08914507230122884;0.010409901950478834;4.501851651667672;0.1397669017314911;0.059132158756256104;-1;0.08975082157958165;0.4173951652950302;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-05-23 03:36:57.437475;2021-05-23 04:16:57.437475;2021-05-23 04:36:57.437475;2021-05-23 05:16:57.437475;2021-05-23 04:38:00;0.008743606507778168;0.011658142320811749;0.0029145358130335808;0.01165814201037089;0.0022575894892327922;-1.0;0.004663256462663412;-0.004080350045114756;-1;0.011874720436114232;4.0743093232930585;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-05-23 03:36:54.561320;2021-05-23 04:16:54.561320;2021-05-23 04:36:54.561320;2021-05-23 05:16:54.561320;2021-05-23 04:46:00;0.002622890053316951;0.013114448636770248;0.010491558583453298;0.0065572241942087805;0.0006557224222262998;3.577708968643191;0.003442543325945735;0.0008196532726287842;-1;0.006589928757439439;0.6281172339668111;1.0
