Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-23-1400;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-05-23 15:10:44.233019;2021-05-23 16:10:44.233019;2021-05-23 17:10:44.233019;2021-05-23 18:10:44.233019;2021-05-23 17:12:00;0.0861688107252121;0.1723376363515854;0.08616882562637329;0.1723376433054606;0.022248694071069823;0.7328281074254218;0.051701292395591736;-0.03446751832962036;-1;0.17376785573847722;2.016597701956993;1.0
2021-05-23-2000;Resampled to 2min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-05-23 15:10:08.735475;2021-05-23 16:10:08.735475;2021-05-23 17:10:08.735475;2021-05-23 18:10:08.735475;2021-05-23 17:32:00;0.0725712701678276;0.21502600610256195;0.14245473593473434;0.07602317333221435;0.008063475441766037;3.4535400140237202;0.09407386928796768;0.021502599120140076;-1;0.07644960771449302;0.5366589409110163;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-05-23 15:09:57.437475;2021-05-23 16:09:57.437475;2021-05-23 17:09:57.437475;2021-05-23 18:09:57.437475;2021-05-23 17:32:00;0.01321256160736084;0.03497442603111267;0.02176186442375183;0.02019249399503072;0.0022659355159448443;1.8518260160579763;0.008937908336520195;-0.004274653270840645;-1;0.0203192341760651;0.9337083340105646;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-05-23 15:09:54.561320;2021-05-23 16:09:54.561320;2021-05-23 17:09:54.561320;2021-05-23 18:09:54.561320;2021-05-23 17:30:00;0.00306003843434155;0.009835836477577686;0.0067757980432361364;0.005678722759087881;0.0005782928197866771;2.18826126586634;0.0018578805029392242;-0.0012021579314023256;-1;0.005708092042004885;0.8424235795668266;1.0
