Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-07-1500;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-05-07 16:07:27.678292403;2021-05-07 17:37:27.678292403;2021-05-07 19:07:27.678292403;2021-05-07 23:07:27.678292403;2021-05-07 21:40:00;0.03829725459218025;3.4467527866363525;3.4084555320441723;0.7707173665364583;0.012110655098464995;47.04095865322494;1.37295663356781;1.3346593789756298;18.41997235178183;0.7708125109569819;0.22614715190216905;1.0
2021-05-08-0100;Resampled to 2min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-05-07 16:06:53.301723597;2021-05-07 17:36:53.301723597;2021-05-07 19:06:53.301723597;2021-05-07 23:06:53.301723597;2021-05-07 21:54:00;0.0298647191375494;1.1826430559158325;1.1527783367782831;0.17829014460245768;0.004223509761452036;35.43875235201624;0.6070005893707275;0.5771358702331781;17.742331310475304;0.17834016288281881;0.15470464459041916;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-05-07 16:06:42.360502120;2021-05-07 17:36:42.360502120;2021-05-07 19:06:42.360502120;2021-05-07 23:06:42.360502120;2021-05-07 21:20:00;0.005699535831809044;0.05829070881009102;0.052591172978281975;0.02606839736302694;0.0012151451766854574;5.533348933110468;0.01214389968663454;0.006444363854825497;0.6780399036811751;0.026096703218550264;0.49621831460817856;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-05-07 16:06:39.575172586;2021-05-07 17:36:39.575172586;2021-05-07 19:06:39.575172586;2021-05-07 23:06:39.575172586;2021-05-07 19:46:00;0.002112883608788252;0.013114448636770248;0.011001565027981997;0.0065572241942087805;0.0003923525905360251;3.505730052618564;0.0026775337755680084;0.0005646501667797565;-1.0;0.006568951947488832;0.5970924982746538;1.0
