;Plot_period;Averaging;Ion_contamination_correction;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan;Unnamed: 2
0;2022-03-05-1900;Mean;True;0.0329508725225903;0.0017508725225903;0.0018491274774096;2022-03-05 21:52:51.592773820;2022-03-05 22:52:51.592773820;2022-03-05 23:52:51.592773820;2022-03-06 00:52:51.592773820;2022-03-06 00:06:00;193.11783043221467;348053.5578378832;347860.440007451;16037.460416667214;49.27112670603916;911.4057002000146;45562.42325064814;45369.305420215926;118.86906017026404;16037.536103157949;0.0461033628969549;1.0;
1;2022-03-06-0200;Resampled to 1min;;0.0348955584566288;0.0018955584566288;0.0020044415433711;2022-03-05 21:52:31.772692305;2022-03-05 22:52:31.772692305;2022-03-05 23:52:31.772692305;2022-03-06 00:52:31.772692305;2022-03-06 00:06:00;331.0128039140337;458690.09375;458359.080946086;18820.283333333333;65.62902924221565;919.5159407174046;59813.441618134224;59482.42881422019;119.32793253352644;18820.39776190779;0.0410603793930757;1.0;
2;;;;0.0363648181626142;0.0015648181626142;0.0016351818373857;2022-03-05 21:52:17.898463033;2022-03-05 22:52:17.898463033;2022-03-05 23:52:17.898463033;2022-03-06 00:52:17.898463033;2022-03-06 00:06:00;114.57021925970696;310477.34375;310362.7735307403;12529.844791666666;31.54143259122266;1315.904216610443;40269.6995455931;40155.129326333394;170.25335673457027;12529.884491296249;0.0403717377208423;1.0;
3;;;;0.0392784928427759;0.0012784928427759;0.001321507157224;2022-03-05 21:51:52.801578460;2022-03-05 22:51:52.801578460;2022-03-05 23:51:52.801578460;2022-03-06 00:51:52.801578460;2022-03-06 00:06:00;145.23134864962475;211586.7001668199;211441.46881817028;9952.202083333616;34.01315022951916;756.4951391991638;30164.460122660734;30019.22877401111;107.402775704212;9952.26020569692;0.0470686297315471;1.0;
4;;;;0.0418798280798763;0.0012798280798763;0.0013201719201236;2022-03-05 21:51:32.724067115;2022-03-05 22:51:32.724067115;2022-03-05 23:51:32.724067115;2022-03-06 00:51:32.724067115;2022-03-06 00:06:00;121.51816370665485;186325.046875;186203.52871129336;9038.092708333334;30.132100840554397;864.0815623012388;24867.700962178005;24746.18279847135;114.83520447482417;9038.142936905197;0.0485390529355581;1.0;
5;;;;0.0445295407566707;0.0013295407566707;0.0013704592433292;2022-03-05 21:51:14.178549976;2022-03-05 22:51:14.178549976;2022-03-05 23:51:14.178549976;2022-03-06 00:51:14.178549976;2022-03-06 00:06:00;109.1194376142222;136474.76447101164;136365.64503339742;7558.638541666754;27.91368837527061;632.8571795354817;18778.122645375992;18669.00320776177;86.64068367006512;7558.690083444937;0.0554295774540114;1.0;
6;;;;0.047762223566329;0.001862223566329;0.0019377764336709;2022-03-05 21:50:53.761797601;2022-03-05 22:50:53.761797601;2022-03-05 23:50:53.761797601;2022-03-06 00:50:53.761797601;2022-03-06 00:03:00;113.35778249279382;112172.53125;112059.1734675072;5815.875;24.106580915066026;579.6904336861669;13369.185663265078;13255.827880772284;68.57338293060147;5815.924960216425;0.0519004806144033;1.0;
7;;;;0.0514685340766569;0.0017685340766569;0.001831465923343;2022-03-05 21:50:32.865114141;2022-03-05 22:50:32.865114141;2022-03-05 23:50:32.865114141;2022-03-06 00:50:32.865114141;2022-03-06 00:03:00;66.88656521411305;90098.078125;90031.19155978589;5159.001041666666;18.426485031465027;721.1886798789407;10798.147896135555;10731.261330921445;85.96203225349785;5159.033948644685;0.0573027398534294;1.0;
8;;;;0.0556003597110666;0.0023003597110666;0.0023996402889333;2022-03-05 21:50:12.192150211;2022-03-05 22:50:12.192150211;2022-03-05 23:50:12.192150211;2022-03-06 00:50:12.192150211;2022-03-06 00:03:00;39.99414079639227;63691.65625;63651.66210920361;3813.1197916666665;12.624895153553243;645.6153384405574;7183.691840580197;7143.697699783805;72.45813628951687;3813.140691553051;0.0599063805279908;1.0;
9;;;;0.0603042287074463;0.0023042287074463;0.0023957712925536;2022-03-05 21:49:51.422108501;2022-03-05 22:49:51.422108501;2022-03-05 23:49:51.422108501;2022-03-06 00:49:51.422108501;2022-03-06 00:03:00;31.654876089013563;47670.99609375;47639.341217660985;3251.1346354166667;11.091744357830589;599.5099117557106;4748.930968265234;4717.27609217622;59.36383042802165;3251.1535559549875;0.0682451409456038;1.0;
