Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-21-2000;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-05-21 21:28:38.714777020;2021-05-21 22:28:38.714777020;2021-05-21 22:58:38.714777020;2021-05-21 23:58:38.714777020;2021-05-21 23:10:00;0.04021212086081505;0.13787011802196503;0.09765799716114998;0.09748889287312826;0.015198751513806577;1.7865517606806036;0.04021212086081505;0.0;-1;0.09866654083936821;1.0103273024999069;1.0
2021-05-22-0300;Resampled to 5min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-05-21 21:28:03.590891502;2021-05-21 22:28:03.590891502;2021-05-21 22:58:03.590891502;2021-05-21 23:58:03.590891502;2021-05-21 23:40:00;0.05196462199091911;0.09676170349121094;0.044797081500291824;0.03225390116373698;0.00682328884562463;-1.0;0.06002810224890709;0.008063480257987976;-1;0.03296773287550933;0.7359348370784952;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-05-21 21:27:52.411817384;2021-05-21 22:27:52.411817384;2021-05-21 22:57:52.411817384;2021-05-21 23:57:52.411817384;2021-05-21 23:55:00;0.011658143252134323;0.018653027713298798;0.0069948844611644745;0.009326513608296711;0.0021284757644679246;-1.0;0.008549303747713566;-0.0031088395044207573;-1;0.009566308857948872;1.3676149922219472;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-05-21 21:27:49.565937207;2021-05-21 22:27:49.565937207;2021-05-21 22:57:49.565937207;2021-05-21 23:57:49.565937207;2021-05-21 23:55:00;0.0019671672489494085;0.006557224318385124;0.004590057069435716;0.0029324797789255777;0.0004636657718900768;2.9972210458588626;0.0028414640109986067;0.0008742967620491982;-1;0.002968909497076296;0.6468131990875841;1.0
