Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2020-11-17-0400;Mean;True;0;0.0043233436134547535;0.00023334361345475358;0.0002466563865452468;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:05:00;1092329.787515907;11760690.0;10668360.212484093;45.404509613119295;45.5030370040325;47.31505729739052;8670033.893333333;7577704.105817426;33.60774259664205;64.28138042853617;6.025422759283496e-06;0.5
2020-11-17-1400;Resampled to 5min;;1;0.004575183056447031;0.00020518305644703135;0.00021481694355296888;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:30:00;1038399.260863393;20421266.3624;19382867.101536606;224.14792592520547;52.56259471567106;89.95987112972165;14303350.210152777;13264950.949289383;61.56536448859777;230.2284062834456;1.1877933490303604e-05;1.0
;;;2;0.004760588198951889;0.0002005881989518895;0.00020941180104811028;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:30:00;970683.3266326977;19633021.426666666;18662338.10003397;234.24044249647486;52.328092889611064;138.1232669898255;13447584.839181496;12476901.512548799;92.34375615670572;240.01419584351277;1.2860885627352121e-05;1.0
;;;3;0.005064316340830221;0.00023431634083022086;0.00024568365916977867;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:05:00;836602.6551657772;9560444.020000001;8723841.364834225;77.70966891038674;43.21387733465045;67.0106939754463;7280242.451688645;6443639.796522868;49.495715985088424;88.9169940813124;1.019241299363105e-05;0.5833333333333333
;;;4;0.005356631404156907;0.0001866314041569072;0.00019336859584309293;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:30:00;770206.6920691277;17113572.18857143;16343365.496502303;238.68261065664322;52.196846202240295;168.265877498383;11477311.26849957;10707104.576430442;110.23680204701998;244.3233500575233;1.4949390326601443e-05;1.0
;;;5;0.005586770086552695;0.00018677008655269486;0.00019322991344730527;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:30:00;704290.0389066051;15277514.084999999;14573224.046093393;164.52338860898953;51.127317781426505;145.08014321973735;10508101.194242656;9803811.15533605;97.59942769127298;172.28449733771046;1.1821989203816181e-05;1.0
;;;6;0.005836908428269198;0.00018690842826919827;0.00019309157173080186;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:20:00;656921.024930367;13924131.327000001;13267210.302069634;216.1061592187971;57.02646846271307;181.38279265203934;9547736.08301409;8890815.058083722;121.55086317855857;223.50366922632142;1.6846319922392103e-05;1.0
;;;7;0.0062145635405875446;0.00025456354058754453;0.0002654364594124551;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:05:00;545809.6509890369;7147101.840000001;6601292.189010964;126.4123156724258;51.86842821123225;95.75214336025294;5229904.076571428;4684094.425582391;67.94307358458632;136.63969920476546;2.0698932162437345e-05;0.5833333333333333
;;;8;0.00659754499795189;0.0001775449979518895;0.00018245500204810972;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:20:00;490680.099798711;12465556.830000002;11974876.73020129;161.8624412873374;58.233886512187404;177.9533433539921;7825373.1234213365;7334693.0236226255;108.99762690140922;172.01928798193262;1.4365015344841973e-05;1.0
;;;9;0.006882514075539548;0.00018251407553954765;0.00018748592446045202;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:20:00;482861.6479020382;12075263.9625;11592402.314597962;213.8747063742332;57.04167267460094;207.87460223430264;7421882.547979913;6939020.900077875;124.43030964192573;221.35072271890323;1.9094465211939975e-05;1.0
;;;10;0.007992058558344027;0.0009420585583440272;0.0010679414416559733;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:10:00;274383.0793541218;1893900.9937500001;1619517.9143958783;20.469541168212892;32.10740752602749;33.48742888025407;1363796.041875;1089412.9625208783;22.52623375101929;38.0773913717782;2.3511559232107687e-05;0.25
;;;11;0.009427544749297136;0.00036754474929713565;0.0003824552507028633;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:00:00;194639.91197021687;4572644.714285715;4378004.802315498;115.61639269005899;35.26509306771665;78.57583977929886;3247290.375266627;3052650.46329641;54.78855883833621;120.87504725019404;2.7609619611715373e-05;0.9166666666666666
;;;12;0.010027586948014961;0.0002175869480149622;0.00022241305198503897;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:20:00;175114.07303185863;5540300.026166666;5365185.953134808;198.58584244579927;37.66537564255247;180.1593110848338;3504939.54762934;3329825.4745974815;111.813284530371;202.1262411024417;3.767366925732406e-05;1.0
;;;13;0.010467688379007087;0.00021768837900708674;0.00022231162099291268;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:20:00;166130.03348436992;4955836.10625;4789706.072765631;193.21576980649925;35.37658725414008;127.34895675551694;3106814.4868066404;2940684.4533222704;78.18707277407572;196.4276880372721;4.101038457331736e-05;1.0
;;;14;0.01118838236743811;0.0004983823674381098;0.0005216176325618903;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:20:00;108744.0083350322;3172661.9174999995;3063917.9091649675;52.074897116956514;26.28942385623517;178.78271682081674;2301548.9092249577;2192804.9008899257;127.95238947702326;58.33462707890051;1.903922650943311e-05;1.0
;;;15;0.011957386838268635;0.00024738683826863554;0.0002526131617313649;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:20:00;100206.37630731467;3453791.9156666673;3353585.5393593526;171.69659021186084;26.72545747035259;150.17685753321766;2090847.5255538197;1990641.149246505;89.14286776393429;173.76411933244242;5.181442885325573e-05;1.0
;;;16;0.012467289200142909;0.0002572892001429083;0.00026271079985709135;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:20:00;92967.8577061618;3219916.7605000003;3126948.9027938386;165.33326518429845;24.391808991476946;123.8942364452526;1918605.0965898437;1825637.238883682;72.33438689561649;167.1228557749605;5.344598232022309e-05;1.0
;;;17;0.013287780100528456;0.0005577801005284561;0.0005822198994715443;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:00:00;63655.936892965816;2595817.1123076924;2532161.1754147266;119.50925852807892;18.369858209863853;152.9959153905688;1551837.3320330658;1488181.3951401;89.91752856307899;120.91283870864048;4.775084614779189e-05;1.0
;;;18;0.014157030055770879;0.0002870300557708781;0.0002929699442291208;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:00:00;56723.75654615413;2436889.6853333334;2380165.9287871793;147.80398279257923;18.59301740086168;191.72027726021963;1278765.931833333;1222042.175287179;98.43442502730184;148.96884783543774;6.258758939186449e-05;1.0
;;;19;0.014766533106995695;0.0003165331069956961;0.00032346689300430387;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:00:00;48911.20753234816;2361664.242;2312753.034467652;140.2526349804903;16.864228915303567;238.2921357522143;1165596.4076572265;1116685.2001248784;115.05651374570404;141.2628890964588;6.107997135499363e-05;1.0
;;;20;0.01574575180802746;0.0006557518080274605;0.0006842481919725404;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:00:00;41571.25635497936;1993925.6839583332;1952354.4276033537;107.10593902861426;13.132010562948016;201.5620578078762;921218.2828846569;879647.0265296776;90.8152035845014;107.90797874405123;5.52706912322859e-05;1.0
;;;21;0.016805704388688978;0.00037570438868897785;0.0003842956113110224;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:00:00;31371.91829092923;1650139.3005208333;1618767.3822299042;117.46439947951318;13.181697709574768;195.44865568423847;736003.5310215927;704631.6127306635;85.07664719010606;118.20170176266188;7.301957221292366e-05;1.0
;;;22;0.01793869560475343;0.0007486956047534285;0.0007813043952465716;2020-11-17 06:32:00;2020-11-17 07:32:00;2020-11-17 09:32:00;2020-11-17 10:32:00;2020-11-17 10:00:00;24939.776086116428;1349460.4921875;1324520.7161013836;93.98952998532319;11.080050193563393;178.97677522810244;587476.5250050185;562536.748918902;76.01316615503909;94.64036802101866;7.145253892259587e-05;1.0
