Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2020-11-18-0700;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2020-11-18 09:54:44.233019;2020-11-18 10:24:44.233019;2020-11-18 10:34:44.233019;2020-11-18 11:34:44.233019;2020-11-18 10:38:00;0.02297835238277912;0.3446752727031708;0.32169692032039165;0.3446752866109212;0.01624814883133328;3.6787678538002324;0.05744588002562523;0.03446752764284611;0.39415370394652705;0.3450580466251524;1.072618433155948;1.0
2020-11-18-1500;Resampled to 1min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2020-11-18 09:54:08.735475;2020-11-18 10:24:08.735475;2020-11-18 10:34:08.735475;2020-11-18 11:34:08.735475;2020-11-18 10:43:00;0.03583766520023346;0.16126951575279236;0.1254318505525589;0.09310899575551351;0.00801354632405477;3.077877897386446;0.04210925102233887;0.006271585822105408;-1.0;0.09345320762439352;0.7450516532500207;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2020-11-18 09:53:57.437475;2020-11-18 10:23:57.437475;2020-11-18 10:33:57.437475;2020-11-18 11:33:57.437475;2020-11-18 11:25:00;0.005440466105937958;0.046632569283246994;0.041192103177309036;0.032974205414454144;0.0020563029730816824;3.505243439429983;0.004274651873856783;-0.0011658142320811749;-1.0;0.03303825970949017;0.8020532374197763;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2020-11-18 09:53:54.561320;2020-11-18 10:23:54.561320;2020-11-18 10:33:54.561320;2020-11-18 11:33:54.561320;2020-11-18 10:43:00;0.0021857419051229954;0.019671672955155373;0.017485931050032377;0.011357445518175762;0.0006911921194020677;5.561774003055286;0.0022950288839638233;0.00010928697884082794;-1.0;0.011378458386101969;0.6507207625115793;1.0
