Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-08-26-2000;Mean;True;0;0.0043233436134547535;0.00023334361345475358;0.0002466563865452468;2021-08-26 22:28:32.035032042;2021-08-26 23:08:32.035032042;2021-08-26 23:58:32.035032042;2021-08-27 00:38:32.035032042;2021-08-27 00:08:00;6802204.8549999995;5410202.325;-1392002.5299999993;242.12219425977665;56.55013944207161;-1.0;3523521.2189772725;-3278683.636022727;-1.0;248.6384427720033;0.0001786192463112861;1.0
2021-08-27-0200;Resampled to 2min;;1;0.004575183056447031;0.00020518305644703135;0.00021481694355296888;2021-08-26 22:27:25.017639682;2021-08-26 23:07:25.017639682;2021-08-26 23:57:25.017639682;2021-08-27 00:37:25.017639682;2021-08-27 00:10:00;6333831.447416666;4504689.862291667;-1829141.5851249993;260.2796561402343;63.95677925416758;-1.0;3308765.2380833337;-3025066.2093333323;-1.0;268.02232931799716;0.0001465290229567883;1.0
;;;2;0.004760588198951889;0.0002005881989518895;0.00020941180104811028;2021-08-26 22:26:39.130847122;2021-08-26 23:06:39.130847122;2021-08-26 23:56:39.130847122;2021-08-27 00:36:39.130847122;2021-08-27 00:08:00;5595871.802062499;4228170.174375;-1367701.627687499;263.9381499584955;63.066413011480066;-1.0;2962408.540875;-2633463.2611874994;-1.0;271.3682358966278;0.00019841186879001926;1.0
;;;3;0.005064316340830221;0.00023431634083022086;0.00024568365916977867;2021-08-26 22:25:29.503164827;2021-08-26 23:05:29.503164827;2021-08-26 23:55:29.503164827;2021-08-27 00:35:29.503164827;2021-08-27 00:08:00;4669638.168833335;3703650.4583333335;-965987.7105000014;209.7473583887917;50.916588911092965;-1.0;2505926.749875;-2163711.4189583347;-1.0;215.8389524099333;0.00022343861113741673;1.0
;;;4;0.005356631404156907;0.0001866314041569072;0.00019336859584309293;2021-08-26 22:24:28.191276746;2021-08-26 23:04:28.191276746;2021-08-26 23:54:28.191276746;2021-08-27 00:34:28.191276746;2021-08-27 00:08:00;4056518.291458334;3021517.6391666667;-1035000.6522916672;254.2140274046122;60.2851676243904;-1.0;2191522.757;-1864995.5344583336;-1.0;261.26437408260193;0.00025242918785038274;1.0
;;;5;0.005586770086552695;0.00018677008655269486;0.00019322991344730527;2021-08-26 22:23:43.362625723;2021-08-26 23:03:43.362625723;2021-08-26 23:53:43.362625723;2021-08-27 00:33:43.362625723;2021-08-27 00:08:00;3535505.209125;2763962.1393750003;-771543.0697499998;247.64226741050973;58.052217106473734;-1.0;1976897.984625;-1558607.2245;-1.0;254.3555631772098;0.0003296712434467562;1.0
;;;6;0.005836908428269198;0.00018690842826919827;0.00019309157173080186;2021-08-26 22:22:57.693382487;2021-08-26 23:02:57.693382487;2021-08-26 23:52:57.693382487;2021-08-27 00:32:57.693382487;2021-08-27 00:10:00;3035100.0940520833;2384046.607291667;-651053.4867604165;270.9057923544322;63.699094762628576;-1.0;1725252.1486666668;-1309847.9453854165;-1.0;278.2939507153561;0.0004274517476284809;1.0
;;;7;0.0062145635405875446;0.00025456354058754453;0.0002654364594124551;2021-08-26 22:21:54.068601878;2021-08-26 23:01:54.068601878;2021-08-26 23:51:54.068601878;2021-08-27 00:31:54.068601878;2021-08-27 00:08:00;2702566.3482812503;2230584.8675;-471981.48078125017;245.34276573742503;58.01055333277111;-1.0;1554550.1956874996;-1148016.1525937507;-1.0;252.10770911985873;0.0005341474599862604;1.0
;;;8;0.00659754499795189;0.0001775449979518895;0.00018245500204810972;2021-08-26 22:20:55.242124157;2021-08-26 23:00:55.242124157;2021-08-26 23:50:55.242124157;2021-08-27 00:30:55.242124157;2021-08-27 00:10:00;2207839.7450390626;2004469.7484375003;-203369.99660156225;266.7283119624197;63.741692511271296;-1.0;1323311.091328125;-884528.6537109376;-1.0;274.23893918720466;0.0013484729496479621;1.0
;;;9;0.006882514075539548;0.00018251407553954765;0.00018748592446045202;2021-08-26 22:20:14.714387512;2021-08-26 23:00:14.714387512;2021-08-26 23:50:14.714387512;2021-08-27 00:30:14.714387512;2021-08-27 00:08:00;2016422.2332421876;1805421.2625;-211000.9707421877;273.8171251113767;62.132442043236765;-1.0;1216306.9367578127;-800115.2964843749;-1.0;280.7779520520005;0.0013306950724651882;1.0
