Plot_period;Averaging;;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-03-05-1200;Mean;;0;0.6859485403439531;0.23264854034395316;0.3520514596560469;2021-03-05 14:35:31.094539;2021-03-05 15:35:31.094539;2021-03-05 16:05:31.094539;2021-03-05 17:05:31.094539;2021-03-05 16:10:00;0.06319046765565872;0.1723376363515854;0.10914716869592667;0.1723376433054606;0.019052643336610567;1.2921674873762266;0.03446752578020096;-0.028722941875457764;-1;0.1733876192759802;1.5885672651667324;1.0
2021-03-05-1900;Resampled to 2min;;1;1.590048112479619;0.5370481124796191;0.8109518875203807;2021-03-05 14:35:08.675037;2021-03-05 15:35:08.675037;2021-03-05 16:05:08.675037;2021-03-05 17:05:08.675037;2021-03-05 16:36:00;0.0331498384475708;0.13439126312732697;0.10124142467975616;0.06010159651438395;0.005449800676852004;3.232897225256313;0.0465889610350132;0.013439122587442398;-1;0.06034817504279003;0.5960818433134616;1.0
;;;2;3.793308977660533;1.3923089776605333;2.1996910223394672;2021-03-05 14:35:01.539458;2021-03-05 15:35:01.539458;2021-03-05 16:05:01.539458;2021-03-05 17:05:01.539458;2021-03-05 16:08:00;0.0038860472850501537;0.023316284641623497;0.019430237356573343;0.016487102707227072;0.0012288760626764125;2.521834330466225;0.0058290716260671616;0.0019430243410170078;-1;0.01653283678187362;0.8508818743935972;1.0
;;;3;10.623002871128294;4.630002871128294;8.206997128871704;2021-03-05 14:34:59.722939;2021-03-05 15:34:59.722939;2021-03-05 16:04:59.722939;2021-03-05 17:04:59.722939;2021-03-05 16:14:00;0.0014207321219146252;0.006557224318385124;0.005136492196470499;0.004636657734711965;0.00039404013536023606;2.5024127946743606;0.00207645446062088;0.000655722338706255;-1;0.004653371098154433;0.9059433792875148;1.0
