Plot_period;Averaging;Ion_contamination_correction;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-07-1500;Mean;True;0;0.03295087252259035;0.0017508725225903535;0.0018491274774096456;2021-05-07 16:31:49.336676;2021-05-07 18:01:49.336676;2021-05-07 19:31:49.336676;2021-05-07 22:31:49.336676;2021-05-07 21:42:00;499.50378146094164;11451.39720755195;10951.893426091008;2057.1992916911195;64.12899406585674;27.72139081883019;5088.281440083636;4588.777658622695;11.615096486635515;2058.198594308708;0.1879308457663953;1.0
2021-05-07-2300;Resampled to 2min;;1;0.03489555845662883;0.0018955584566288305;0.00200444154337117;2021-05-07 16:30:49.502467;2021-05-07 18:00:49.502467;2021-05-07 19:30:49.502467;2021-05-07 22:30:49.502467;2021-05-07 21:34:00;607.9788417073194;15058.0078125;14450.02897079268;2411.2109375;72.2975862320571;34.7818953104664;6458.625536603262;5850.646694895942;14.082780128103355;2412.2945769732623;0.1669404664758213;1.0
;;;2;0.036364818162614256;0.001564818162614258;0.0016351818373857435;2021-05-07 16:30:07.618002;2021-05-07 18:00:07.618002;2021-05-07 19:30:07.618002;2021-05-07 22:30:07.618002;2021-05-07 22:02:00;482.05534675364356;10871.723243321838;10389.667896568195;1657.9283858845465;52.10453089632364;30.15460576486786;5040.554996655929;4558.4996499022855;13.230428651862475;1658.7469411762795;0.15965350939890766;1.0
;;;3;0.03927849284277593;0.0012784928427759315;0.0013215071572240666;2021-05-07 16:28:51.853822;2021-05-07 17:58:51.853822;2021-05-07 19:28:51.853822;2021-05-07 22:28:51.853822;2021-05-07 22:12:00;347.56767609405193;10298.434084205797;9950.866408111746;1552.552474323849;42.574795709278526;42.904335881082666;4528.466336975887;4180.898660881835;18.02643840992751;1553.136117266865;0.15608049124252937;1.0
;;;4;0.041879828079876356;0.0012798280798763592;0.0013201719201236459;2021-05-07 16:27:51.242467;2021-05-07 17:57:51.242467;2021-05-07 19:27:51.242467;2021-05-07 22:27:51.242467;2021-05-07 21:10:00;325.5739946523279;9425.85546875;9100.281474097672;1437.4295572916667;39.873465159732625;34.10591908227156;4440.965819361746;4115.391824709418;15.423613100857244;1437.982484385523;0.15801516562740217;1.0
;;;5;0.04452954075667074;0.001329540756670737;0.001370459243329264;2021-05-07 16:26:55.256000;2021-05-07 17:56:55.256000;2021-05-07 19:26:55.256000;2021-05-07 22:26:55.256000;2021-05-07 21:24:00;292.3006705972317;9209.953125;8917.652454402769;1388.452734375;36.92063526547938;38.90287320286382;3719.684369634538;3427.3836990373065;14.951813175381302;1388.9435297742746;0.1557521485476297;1.0
;;;6;0.04776222356632907;0.00186222356632907;0.0019377764336709277;2021-05-07 16:25:53.620521;2021-05-07 17:55:53.620521;2021-05-07 19:25:53.620521;2021-05-07 22:25:53.620521;2021-05-07 22:14:00;163.5672821912571;7535.426376150342;7371.859093959085;1066.1030169625894;23.453672137675944;43.41986716063094;3097.8687650806637;2934.3014828894065;17.2828833232454;1066.3609696127653;0.14465292350563255;1.0
;;;7;0.051468534076656976;0.0017685340766569746;0.0018314659233430244;2021-05-07 16:24:50.536194;2021-05-07 17:54:50.536194;2021-05-07 19:24:50.536194;2021-05-07 22:24:50.536194;2021-05-07 22:10:00;239.06581657301456;8270.439310586717;8031.373494013702;1105.2990321115458;28.044076563830767;46.3780593442127;3870.267051328318;3631.201234755303;20.968775326136335;1105.654747476371;0.13766695675409524;1.0
;;;8;0.05560035971106662;0.002300359711066617;0.0023996402889333857;2021-05-07 16:23:48.127246;2021-05-07 17:53:48.127246;2021-05-07 19:23:48.127246;2021-05-07 22:23:48.127246;2021-05-07 21:18:00;106.05906660882862;4679.8525390625;4573.793472453672;730.8701822916667;16.439003677307348;51.26372733321878;1955.8967786325736;1849.837712023745;20.733244002164792;731.0550350041757;0.15983560241778727;1.0
;;;9;0.06030422870744639;0.0023042287074463846;0.002395771292553618;2021-05-07 16:22:45.425233;2021-05-07 17:52:45.425233;2021-05-07 19:22:45.425233;2021-05-07 22:22:45.425233;2021-05-07 21:48:00;107.95640583186109;6428.756618882304;6320.800213050443;844.3067061078855;16.342287554910634;63.97495010121952;2499.603284867114;2391.646879035253;24.206664439434423;844.4648508619377;0.1336009401338752;1.0
;;;10;0.06495929494691272;0.00225929494691271;0.002340705053087283;2021-05-07 16:21:50.562905;2021-05-07 17:51:50.562905;2021-05-07 19:21:50.562905;2021-05-07 22:21:50.562905;2021-05-07 22:12:00;96.34805719699794;4243.474848274603;4147.126791077605;679.5013021501165;15.292814020791134;41.86149663611322;1915.337382998305;1818.9893258013071;18.361053177101276;679.6733699243913;0.16389018329188398;1.0
;;;11;0.07014007413740023;0.002840074137400228;0.0029599258625997715;2021-05-07 16:20:56.415015;2021-05-07 17:50:56.415015;2021-05-07 19:20:56.415015;2021-05-07 22:20:56.415015;2021-05-07 21:20:00;72.05162251137315;3962.879058641852;3890.827436130479;590.7522135852003;11.904369715522952;42.04984466530553;1770.2132283917529;1698.1616058803797;18.352762469176007;590.8721451161308;0.1518628504644676;1.0
;;;12;0.0758965084835923;0.002796508483592308;0.0029034915164076885;2021-05-07 16:20:03.278523;2021-05-07 17:50:03.278523;2021-05-07 19:20:03.278523;2021-05-07 22:20:03.278523;2021-05-07 21:34:00;80.9408048882825;3570.5205078125;3489.5797029242176;557.6216145833333;12.542267851187198;43.84406399953719;1612.2013122771098;1531.2605073888274;19.239189071870165;557.7626498192349;0.1598366271307223;1.0
;;;13;0.08212965359722393;0.003329653597223939;0.0034703464027760617;2021-05-07 16:19:12.580358;2021-05-07 17:49:12.580358;2021-05-07 19:19:12.580358;2021-05-07 22:19:12.580358;2021-05-07 22:16:00;45.46316687396593;3017.563720703125;2972.1005538291593;471.26429036458336;8.655133415665846;56.233465212002194;1300.2486683159627;1254.7855014419968;23.741100129655706;471.343762775405;0.15858944010765072;1.0
;;;14;0.08941498755801512;0.003814987558015126;0.003985012441984875;2021-05-07 16:18:20.658256;2021-05-07 17:48:20.658256;2021-05-07 19:18:20.658256;2021-05-07 22:18:20.658256;2021-05-07 21:48:00;40.22877522646714;2829.5575846365186;2789.3288094100517;422.12794982565083;7.531223195505083;68.3727229122193;1199.6915425240359;1159.4627672975687;28.421040304760133;422.19512709981353;0.15136083120623867;1.0
;;;15;0.09717376189074908;0.003773761890749086;0.003926238109250912;2021-05-07 16:17:32.407235;2021-05-07 17:47:32.407235;2021-05-07 19:17:32.407235;2021-05-07 22:17:32.407235;2021-05-07 22:16:00;31.79763233588125;2136.55859375;2104.760961414119;366.416796875;6.698114960070227;36.375988451854;887.4055074157344;855.6078750798531;14.787228931835177;366.4780126776412;0.1741185908500587;1.0
;;;16;0.10588668471531253;0.004786684715312531;0.005013315284687472;2021-05-07 16:16:45.199550;2021-05-07 17:46:45.199550;2021-05-07 19:16:45.199550;2021-05-07 22:16:45.199550;2021-05-07 21:32:00;26.189845191120504;1541.55224609375;1515.3624009026296;276.8709309895833;5.4151272825019054;51.733009114435326;685.4965853852175;659.306740194097;22.50809547561256;276.92388129326133;0.18274432645835142;1.0
;;;17;0.11521601451187244;0.00431601451187244;0.004483985488127562;2021-05-07 16:16:01.243089;2021-05-07 17:46:01.243089;2021-05-07 19:16:01.243089;2021-05-07 22:16:01.243089;2021-05-07 21:32:00;21.438482272639426;1795.97705078125;1774.5385685086105;312.639453125;5.132863336885987;47.29211094976949;648.1216008227144;626.6831185500749;16.701337518815322;312.6815855408409;0.17620444609644656;1.0
;;;18;0.1249833988976136;0.005283398897613603;0.005516601102386401;2021-05-07 16:15:21.112067;2021-05-07 17:45:21.112067;2021-05-07 19:15:21.112067;2021-05-07 22:15:21.112067;2021-05-07 21:40:00;17.3928166701063;1462.6211074129;1445.228290742794;254.74383023281337;4.1834354281746124;55.9959662735044;510.71000473212894;493.31718806202264;19.113777942074083;254.7781783702563;0.1762892271084105;1.0
;;;19;0.13627233761846166;0.005772337618461659;0.006027662381538346;2021-05-07 16:14:40.774634;2021-05-07 17:44:40.774634;2021-05-07 19:14:40.774634;2021-05-07 22:14:40.774634;2021-05-07 20:58:00;20.161335113957268;1163.3697335671368;1143.2083984531796;216.08436636243593;4.2790617136517;39.18875917554461;470.53675323989324;450.375418125936;15.438702010415087;216.12673077480414;0.18905278431057262;1.0
;;;20;0.14808251078368437;0.005782510783684358;0.006017489216315619;2021-05-07 16:14:04.165843;2021-05-07 17:44:04.165843;2021-05-07 19:14:04.165843;2021-05-07 22:14:04.165843;2021-05-07 20:52:00;13.744314453994848;1031.549560546875;1017.8052460928801;202.303515625;3.5302740392834164;44.80127154356669;372.6614724102774;358.91715795628255;15.798646270464648;202.33431559927507;0.19879472657071665;1.0
;;;21;0.16085207490113393;0.006752074901133942;0.007047925098866065;2021-05-07 16:13:29.758111;2021-05-07 17:43:29.758111;2021-05-07 19:13:29.758111;2021-05-07 22:13:29.758111;2021-05-07 21:24:00;16.231065621893745;780.274658203125;764.0435925812312;162.69851888020833;3.5394007382130863;28.65882284750183;308.1121043066029;291.88103868470915;10.948284968858719;162.73701300994549;0.212994408421328;1.0
;;;22;0.1755267785837819;0.007626778583781912;0.00797322141621809;2021-05-07 16:12:55.550619;2021-05-07 17:42:55.550619;2021-05-07 19:12:55.550619;2021-05-07 22:12:55.550619;2021-05-07 20:42:00;16.617720614530963;587.019595319581;570.40187470505;131.2616210939078;3.3289560851421935;30.007748446386522;246.30647896722715;229.6887583526962;12.083484973072;131.3038275177743;0.2301952944766712;1.0
;;;23;0.1913328252025773;0.007832825202577304;0.00816717479742271;2021-05-07 16:12:23.813149;2021-05-07 17:42:23.813149;2021-05-07 19:12:23.813149;2021-05-07 22:12:23.813149;2021-05-07 21:06:00;9.483116610672253;588.270966449203;578.7878498385307;131.5955498969927;2.536391942983259;37.08097214783781;195.31024583229998;185.82712922162773;11.905313155592639;131.6199910225659;0.22740627858598797;1.0
;;;24;0.2085927851101279;0.009092785110127899;0.009507214889872079;2021-05-07 16:11:53.979508;2021-05-07 17:41:53.979508;2021-05-07 19:11:53.979508;2021-05-07 22:11:53.979508;2021-05-07 21:00:00;6.1853805895844225;438.28885419013716;432.1034736005527;103.30568847657753;1.8795721087661303;30.45789720871795;143.45212155922374;137.26674096963933;9.675590551937741;103.32278578770384;0.2391158416912381;1.0
;;;25;0.22740164907053773;0.009301649070537737;0.00969835092946228;2021-05-07 16:11:26.038570;2021-05-07 17:41:26.038570;2021-05-07 19:11:26.038570;2021-05-07 22:11:26.038570;2021-05-07 21:56:00;7.257377822028185;341.130615234375;333.87323741234684;91.17099609375;2.0311459560360783;29.396012448321063;122.4776565236447;115.22027870161651;10.144618877698901;91.19361865076581;0.2731384502620018;1.0
