;Plot_period;Averaging;Ion_masking;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan;Ion_contamination_correction
0;2020-11-18-1700;Resampled to 5min;;0.004575183056447;0.000205183056447;0.0002148169435529;2020-11-18 12:32:33.996253;2020-11-18 13:32:33.996253;2020-11-18 14:02:33.996253;2020-11-18 15:02:33.996253;2020-11-18 14:50:00;5821455.757187501;20045503.589411765;14224047.832224265;183.92381765195043;56.04415588849622;7.407034156515562;11841241.85047082;6019786.09328332;3.1347448865330776;192.2730301132272;1.351746228507731e-05;1.0;
1;;;;0.0047605881989518;0.0002005881989518;0.0002094118010481;2020-11-18 12:31:21.160075;2020-11-18 13:31:21.160075;2020-11-18 14:01:21.160075;2020-11-18 15:01:21.160075;2020-11-18 14:50:00;5138586.674375;18589643.174117647;13451056.499742646;181.06560235090245;55.02950578795605;8.088431788661083;11008821.556482503;5870234.882107505;3.5299081844057323;189.24322672677567;1.406902325705021e-05;1.0;
2;;;;0.0053566314041569;0.0001866314041569;0.000193368595843;2020-11-18 12:27:53.319487;2020-11-18 13:27:53.319487;2020-11-18 13:57:53.319487;2020-11-18 14:57:53.319487;2020-11-18 14:40:00;3767109.544652777;16317392.938666668;12550283.394013893;172.32446790692302;52.93207193450576;11.187749015655388;9293875.688188696;5526766.14353592;4.926747113263877;180.2707033288655;1.4363875114951524e-05;1.0;
3;;;;0.0055867700865526;0.0001867700865526;0.0001932299134473;2020-11-18 12:26:42.162898;2020-11-18 13:26:42.162898;2020-11-18 13:56:42.162898;2020-11-18 14:56:42.162898;2020-11-18 14:40:00;3399438.4408125;15300647.048571428;11901208.607758928;114.6998180061253;51.02720906386046;12.374491493833304;8454977.937964285;5055539.497151785;5.256586332203066;125.53813888808924;1.0548352106545326e-05;1.0;
4;;;;0.0058369084282691;0.0001869084282691;0.0001930915717308;2020-11-18 12:25:29.672036;2020-11-18 13:25:29.672036;2020-11-18 13:55:29.672036;2020-11-18 14:55:29.672036;2020-11-18 14:40:00;2872464.7539375;14404721.297142858;11532256.543205358;180.7674508977407;55.120998772840665;13.878849486941029;7629497.21970204;4757032.465764539;5.724997302088055;188.98464437562805;1.6387481813953847e-05;1.0;
5;;;;0.0065975449979518;0.0001775449979518;0.0001824550020481;2020-11-18 12:22:15.304959;2020-11-18 13:22:15.304959;2020-11-18 13:52:15.304959;2020-11-18 14:52:15.304959;2020-11-18 14:30:00;1882169.348671876;11424882.865178572;9542713.516506696;259.1806749431109;52.64207202466104;24.691911442392428;5845218.732383776;3963049.3837119;10.254448512488093;264.4727018257576;2.7714622404652597e-05;1.0;
6;;;;0.0068825140755395;0.0001825140755395;0.0001874859244604;2020-11-18 12:21:10.975218;2020-11-18 13:21:10.975218;2020-11-18 13:51:10.975218;2020-11-18 14:51:10.975218;2020-11-18 14:30:00;1685896.1021484376;11489373.496551726;9803477.394403288;265.0160117685556;50.20166227199589;26.70355899095755;5369266.246301186;3683370.144152749;10.033081933362444;269.72892575432604;2.7513596951660408e-05;1.0;
7;;;;0.0094275447492971;0.0003675447492971;0.0003824552507028;2020-11-18 12:13:53.559841;2020-11-18 13:13:53.559841;2020-11-18 13:43:53.559841;2020-11-18 14:43:53.559841;2020-11-18 14:15:00;586112.299093316;4260934.775714286;3674822.47662097;78.79859385453842;29.46873823582922;36.00539652772057;1628995.2023632303;1042882.9032699146;10.218020789603075;84.12862132867936;2.2893247732074484e-05;0.9166666666666666;
8;;;;0.0100275869480149;0.0002175869480149;0.000222413051985;2020-11-18 12:12:35.750437;2020-11-18 13:12:35.750437;2020-11-18 13:42:35.750437;2020-11-18 14:42:35.750437;2020-11-18 14:15:00;469323.69139453134;5658366.6110000005;5189042.919605469;198.4806456527848;31.24894439276031;65.00510369688504;1846766.679052952;1377442.9876584203;17.255749400525424;200.92551660853863;3.87211128760167e-05;1.0;
9;;;;0.010467688379007;0.000217688379007;0.0002223116209929;2020-11-18 12:11:43.026137;2020-11-18 13:11:43.026137;2020-11-18 13:41:43.026137;2020-11-18 14:41:43.026137;2020-11-18 14:15:00;404319.1863720704;5222634.603750001;4818315.41737793;195.5213448527141;30.26042241914711;70.41541032993902;1555347.1732617186;1151027.9868896485;16.82125410589761;197.8491583454405;4.106189429439794e-05;1.0;
10;;;;0.0111883823674381;0.0004983823674381;0.0005216176325618;2020-11-18 12:10:23.569207;2020-11-18 13:10:23.569207;2020-11-18 13:40:23.569207;2020-11-18 14:40:23.569207;2020-11-18 14:15:00;308273.3859023437;3312230.253;3003956.867097656;57.84096095802518;23.49787857049361;52.94198865597891;1126920.2986605703;818646.9127582267;14.42790209247343;62.43177926233928;2.078318099242857e-05;1.0;
11;;;;0.0119573868382686;0.0002473868382686;0.0002526131617313;2020-11-18 12:09:06.921103;2020-11-18 13:09:06.921103;2020-11-18 13:39:06.921103;2020-11-18 14:39:06.921103;2020-11-18 14:10:00;233905.6110199653;2682236.217;2448330.605980035;159.052325419823;25.55323802357521;57.69479411022054;874656.0490190972;640750.437999132;15.099253551011245;161.09193088091894;6.579664138799422e-05;1.0;
